goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
                                                                          │ raw-consumer.txt │
                                                                          │      sec/op      │
EquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16          5.695m ±  25%
EquivalentConsumerHandling/record/1-records/128B/none/raw-franz-go-16          3.653m ±  52%
EquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16              2.060m ±  26%
EquivalentConsumerHandling/record/1-records/128B/none/sarama-16                97.82m ±   5%
EquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16        620.4µ ±  13%
EquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16        815.8µ ±  26%
EquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16            675.7µ ±  32%
EquivalentConsumerHandling/record/1-records/128B/snappy/sarama-16              86.30m ±   7%
EquivalentConsumerHandling/record/1-records/1024B/none/golib-policy-16         492.2µ ±  16%
EquivalentConsumerHandling/record/1-records/1024B/none/raw-franz-go-16         508.3µ ±  24%
EquivalentConsumerHandling/record/1-records/1024B/none/kafka-go-16             458.0µ ±  24%
EquivalentConsumerHandling/record/1-records/1024B/none/sarama-16               82.73m ±   7%
EquivalentConsumerHandling/record/1-records/1024B/snappy/golib-policy-16       772.7µ ±  14%
EquivalentConsumerHandling/record/1-records/1024B/snappy/raw-franz-go-16       382.8µ ±  14%
EquivalentConsumerHandling/record/1-records/1024B/snappy/kafka-go-16           726.0µ ±  21%
EquivalentConsumerHandling/record/1-records/1024B/snappy/sarama-16             95.17m ±  12%
EquivalentConsumerHandling/batch/10-records/128B/none/golib-policy-16          3.040m ±  80%
EquivalentConsumerHandling/batch/10-records/128B/none/raw-franz-go-16          411.4µ ±  27%
EquivalentConsumerHandling/batch/10-records/128B/none/kafka-go-16              314.1µ ±   7%
EquivalentConsumerHandling/batch/10-records/128B/none/sarama-16                881.0µ ± 320%
EquivalentConsumerHandling/batch/10-records/128B/snappy/golib-policy-16        536.7µ ±   6%
EquivalentConsumerHandling/batch/10-records/128B/snappy/raw-franz-go-16        318.9µ ±   5%
EquivalentConsumerHandling/batch/10-records/128B/snappy/kafka-go-16            291.8µ ±   6%
EquivalentConsumerHandling/batch/10-records/128B/snappy/sarama-16              884.8µ ± 128%
EquivalentConsumerHandling/batch/100-records/128B/none/golib-policy-16         586.0µ ±  22%
EquivalentConsumerHandling/batch/100-records/128B/none/raw-franz-go-16         278.1µ ±  14%
EquivalentConsumerHandling/batch/100-records/128B/none/kafka-go-16             292.6µ ±  26%
EquivalentConsumerHandling/batch/100-records/128B/none/sarama-16               471.0µ ± 270%
EquivalentConsumerHandling/batch/100-records/128B/snappy/golib-policy-16       389.3µ ±  32%
EquivalentConsumerHandling/batch/100-records/128B/snappy/raw-franz-go-16       419.4µ ± 189%
EquivalentConsumerHandling/batch/100-records/128B/snappy/kafka-go-16           645.2µ ±  40%
EquivalentConsumerHandling/batch/100-records/128B/snappy/sarama-16             370.9µ ± 168%
EquivalentConsumerHandling/batch/10-records/1024B/none/golib-policy-16         302.2µ ±  17%
EquivalentConsumerHandling/batch/10-records/1024B/none/raw-franz-go-16         299.2µ ±  39%
EquivalentConsumerHandling/batch/10-records/1024B/none/kafka-go-16             379.2µ ±  12%
EquivalentConsumerHandling/batch/10-records/1024B/none/sarama-16               607.0µ ±  80%
EquivalentConsumerHandling/batch/10-records/1024B/snappy/golib-policy-16       277.2µ ±   6%
EquivalentConsumerHandling/batch/10-records/1024B/snappy/raw-franz-go-16       267.6µ ±   6%
EquivalentConsumerHandling/batch/10-records/1024B/snappy/kafka-go-16           418.1µ ±  37%
EquivalentConsumerHandling/batch/10-records/1024B/snappy/sarama-16             473.9µ ± 185%
EquivalentConsumerHandling/batch/100-records/1024B/none/golib-policy-16        408.6µ ±  10%
EquivalentConsumerHandling/batch/100-records/1024B/none/raw-franz-go-16        375.8µ ±   4%
EquivalentConsumerHandling/batch/100-records/1024B/none/kafka-go-16            637.3µ ± 128%
EquivalentConsumerHandling/batch/100-records/1024B/none/sarama-16              508.4µ ±  46%
EquivalentConsumerHandling/batch/100-records/1024B/snappy/golib-policy-16      930.7µ ±  63%
EquivalentConsumerHandling/batch/100-records/1024B/snappy/raw-franz-go-16      464.2µ ±  14%
EquivalentConsumerHandling/batch/100-records/1024B/snappy/kafka-go-16          343.1µ ±  18%
EquivalentConsumerHandling/batch/100-records/1024B/snappy/sarama-16            399.8µ ±  26%
geomean                                                                        843.9µ

                                                                          │ raw-consumer.txt │
                                                                          │       B/s        │
EquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         24.41Ki ±  20%
EquivalentConsumerHandling/record/1-records/128B/none/raw-franz-go-16         39.06Ki ±  50%
EquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             68.36Ki ±  43%
EquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       234.4Ki ±  17%
EquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       180.7Ki ±  35%
EquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           219.7Ki ±  24%
EquivalentConsumerHandling/record/1-records/1024B/none/golib-policy-16        2.031Mi ±  14%
EquivalentConsumerHandling/record/1-records/1024B/none/raw-franz-go-16        1.965Mi ±  24%
EquivalentConsumerHandling/record/1-records/1024B/none/kafka-go-16            2.179Mi ±  19%
EquivalentConsumerHandling/record/1-records/1024B/none/sarama-16              9.766Ki ±   0%
EquivalentConsumerHandling/record/1-records/1024B/snappy/golib-policy-16      1.292Mi ±  12%
EquivalentConsumerHandling/record/1-records/1024B/snappy/raw-franz-go-16      2.608Mi ±  16%
EquivalentConsumerHandling/record/1-records/1024B/snappy/kafka-go-16          1.378Mi ±  27%
EquivalentConsumerHandling/record/1-records/1024B/snappy/sarama-16            9.766Ki ±   0%
EquivalentConsumerHandling/batch/10-records/128B/none/golib-policy-16         488.3Ki ± 406%
EquivalentConsumerHandling/batch/10-records/128B/none/raw-franz-go-16         3.500Mi ±  22%
EquivalentConsumerHandling/batch/10-records/128B/none/kafka-go-16             4.587Mi ±   7%
EquivalentConsumerHandling/batch/10-records/128B/none/sarama-16               1.650Mi ±  84%
EquivalentConsumerHandling/batch/10-records/128B/snappy/golib-policy-16       2.685Mi ±   6%
EquivalentConsumerHandling/batch/10-records/128B/snappy/raw-franz-go-16       4.516Mi ±   5%
EquivalentConsumerHandling/batch/10-records/128B/snappy/kafka-go-16           4.930Mi ±   5%
EquivalentConsumerHandling/batch/10-records/128B/snappy/sarama-16             1.626Mi ±  56%
EquivalentConsumerHandling/batch/100-records/128B/none/golib-policy-16        24.58Mi ±  29%
EquivalentConsumerHandling/batch/100-records/128B/none/raw-franz-go-16        51.79Mi ±  12%
EquivalentConsumerHandling/batch/100-records/128B/none/kafka-go-16            49.24Mi ±  21%
EquivalentConsumerHandling/batch/100-records/128B/none/sarama-16              30.62Mi ±  73%
EquivalentConsumerHandling/batch/100-records/128B/snappy/golib-policy-16      36.99Mi ±  24%
EquivalentConsumerHandling/batch/100-records/128B/snappy/raw-franz-go-16      34.35Mi ±  65%
EquivalentConsumerHandling/batch/100-records/128B/snappy/kafka-go-16          22.40Mi ±  29%
EquivalentConsumerHandling/batch/100-records/128B/snappy/sarama-16            38.82Mi ±  63%
EquivalentConsumerHandling/batch/10-records/1024B/none/golib-policy-16        33.04Mi ±  14%
EquivalentConsumerHandling/batch/10-records/1024B/none/raw-franz-go-16        33.50Mi ±  28%
EquivalentConsumerHandling/batch/10-records/1024B/none/kafka-go-16            26.34Mi ±  11%
EquivalentConsumerHandling/batch/10-records/1024B/none/sarama-16              16.46Mi ± 109%
EquivalentConsumerHandling/batch/10-records/1024B/snappy/golib-policy-16      36.03Mi ±   6%
EquivalentConsumerHandling/batch/10-records/1024B/snappy/raw-franz-go-16      37.32Mi ±   5%
EquivalentConsumerHandling/batch/10-records/1024B/snappy/kafka-go-16          23.95Mi ±  57%
EquivalentConsumerHandling/batch/10-records/1024B/snappy/sarama-16            21.10Mi ±  65%
EquivalentConsumerHandling/batch/100-records/1024B/none/golib-policy-16       244.4Mi ±  10%
EquivalentConsumerHandling/batch/100-records/1024B/none/raw-franz-go-16       265.7Mi ±   4%
EquivalentConsumerHandling/batch/100-records/1024B/none/kafka-go-16           156.8Mi ±  56%
EquivalentConsumerHandling/batch/100-records/1024B/none/sarama-16             196.9Mi ±  32%
EquivalentConsumerHandling/batch/100-records/1024B/snappy/golib-policy-16     107.7Mi ± 170%
EquivalentConsumerHandling/batch/100-records/1024B/snappy/raw-franz-go-16     215.1Mi ±  13%
EquivalentConsumerHandling/batch/100-records/1024B/snappy/kafka-go-16         291.1Mi ±  22%
EquivalentConsumerHandling/batch/100-records/1024B/snappy/sarama-16           249.8Mi ±  35%
geomean                                                                       6.292Mi

                                                                          │ raw-consumer.txt │
                                                                          │    records/op    │
EquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16             1.000 ± 0%
EquivalentConsumerHandling/record/1-records/128B/none/raw-franz-go-16             1.000 ± 0%
EquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16                 1.000 ± 0%
EquivalentConsumerHandling/record/1-records/128B/none/sarama-16                   1.000 ± 0%
EquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16           1.000 ± 0%
EquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16           1.000 ± 0%
EquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16               1.000 ± 0%
EquivalentConsumerHandling/record/1-records/128B/snappy/sarama-16                 1.000 ± 0%
EquivalentConsumerHandling/record/1-records/1024B/none/golib-policy-16            1.000 ± 0%
EquivalentConsumerHandling/record/1-records/1024B/none/raw-franz-go-16            1.000 ± 0%
EquivalentConsumerHandling/record/1-records/1024B/none/kafka-go-16                1.000 ± 0%
EquivalentConsumerHandling/record/1-records/1024B/none/sarama-16                  1.000 ± 0%
EquivalentConsumerHandling/record/1-records/1024B/snappy/golib-policy-16          1.000 ± 0%
EquivalentConsumerHandling/record/1-records/1024B/snappy/raw-franz-go-16          1.000 ± 0%
EquivalentConsumerHandling/record/1-records/1024B/snappy/kafka-go-16              1.000 ± 0%
EquivalentConsumerHandling/record/1-records/1024B/snappy/sarama-16                1.000 ± 0%
EquivalentConsumerHandling/batch/10-records/128B/none/golib-policy-16             10.00 ± 0%
EquivalentConsumerHandling/batch/10-records/128B/none/raw-franz-go-16             10.00 ± 0%
EquivalentConsumerHandling/batch/10-records/128B/none/kafka-go-16                 10.00 ± 0%
EquivalentConsumerHandling/batch/10-records/128B/none/sarama-16                   10.00 ± 0%
EquivalentConsumerHandling/batch/10-records/128B/snappy/golib-policy-16           10.00 ± 0%
EquivalentConsumerHandling/batch/10-records/128B/snappy/raw-franz-go-16           10.00 ± 0%
EquivalentConsumerHandling/batch/10-records/128B/snappy/kafka-go-16               10.00 ± 0%
EquivalentConsumerHandling/batch/10-records/128B/snappy/sarama-16                 10.00 ± 0%
EquivalentConsumerHandling/batch/100-records/128B/none/golib-policy-16            100.0 ± 0%
EquivalentConsumerHandling/batch/100-records/128B/none/raw-franz-go-16            100.0 ± 0%
EquivalentConsumerHandling/batch/100-records/128B/none/kafka-go-16                100.0 ± 0%
EquivalentConsumerHandling/batch/100-records/128B/none/sarama-16                  100.0 ± 0%
EquivalentConsumerHandling/batch/100-records/128B/snappy/golib-policy-16          100.0 ± 0%
EquivalentConsumerHandling/batch/100-records/128B/snappy/raw-franz-go-16          100.0 ± 0%
EquivalentConsumerHandling/batch/100-records/128B/snappy/kafka-go-16              100.0 ± 0%
EquivalentConsumerHandling/batch/100-records/128B/snappy/sarama-16                100.0 ± 0%
EquivalentConsumerHandling/batch/10-records/1024B/none/golib-policy-16            10.00 ± 0%
EquivalentConsumerHandling/batch/10-records/1024B/none/raw-franz-go-16            10.00 ± 0%
EquivalentConsumerHandling/batch/10-records/1024B/none/kafka-go-16                10.00 ± 0%
EquivalentConsumerHandling/batch/10-records/1024B/none/sarama-16                  10.00 ± 0%
EquivalentConsumerHandling/batch/10-records/1024B/snappy/golib-policy-16          10.00 ± 0%
EquivalentConsumerHandling/batch/10-records/1024B/snappy/raw-franz-go-16          10.00 ± 0%
EquivalentConsumerHandling/batch/10-records/1024B/snappy/kafka-go-16              10.00 ± 0%
EquivalentConsumerHandling/batch/10-records/1024B/snappy/sarama-16                10.00 ± 0%
EquivalentConsumerHandling/batch/100-records/1024B/none/golib-policy-16           100.0 ± 0%
EquivalentConsumerHandling/batch/100-records/1024B/none/raw-franz-go-16           100.0 ± 0%
EquivalentConsumerHandling/batch/100-records/1024B/none/kafka-go-16               100.0 ± 0%
EquivalentConsumerHandling/batch/100-records/1024B/none/sarama-16                 100.0 ± 0%
EquivalentConsumerHandling/batch/100-records/1024B/snappy/golib-policy-16         100.0 ± 0%
EquivalentConsumerHandling/batch/100-records/1024B/snappy/raw-franz-go-16         100.0 ± 0%
EquivalentConsumerHandling/batch/100-records/1024B/snappy/kafka-go-16             100.0 ± 0%
EquivalentConsumerHandling/batch/100-records/1024B/snappy/sarama-16               100.0 ± 0%
geomean                                                                           10.00

                                                                          │ raw-consumer.txt │
                                                                          │       B/op       │
EquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16           7.062Ki ± 1%
EquivalentConsumerHandling/record/1-records/128B/none/raw-franz-go-16           5.359Ki ± 2%
EquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16               1.273Ki ± 0%
EquivalentConsumerHandling/record/1-records/128B/none/sarama-16                 7.695Ki ± 4%
EquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16         6.972Ki ± 1%
EquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16         5.260Ki ± 2%
EquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16             1.274Ki ± 0%
EquivalentConsumerHandling/record/1-records/128B/snappy/sarama-16               7.195Ki ± 7%
EquivalentConsumerHandling/record/1-records/1024B/none/golib-policy-16          6.961Ki ± 1%
EquivalentConsumerHandling/record/1-records/1024B/none/raw-franz-go-16          5.359Ki ± 2%
EquivalentConsumerHandling/record/1-records/1024B/none/kafka-go-16              1.274Ki ± 0%
EquivalentConsumerHandling/record/1-records/1024B/none/sarama-16                7.041Ki ± 5%
EquivalentConsumerHandling/record/1-records/1024B/snappy/golib-policy-16        7.062Ki ± 1%
EquivalentConsumerHandling/record/1-records/1024B/snappy/raw-franz-go-16        5.258Ki ± 0%
EquivalentConsumerHandling/record/1-records/1024B/snappy/kafka-go-16            1.274Ki ± 0%
EquivalentConsumerHandling/record/1-records/1024B/snappy/sarama-16              7.695Ki ± 6%
EquivalentConsumerHandling/batch/10-records/128B/none/golib-policy-16           9.599Ki ± 1%
EquivalentConsumerHandling/batch/10-records/128B/none/raw-franz-go-16           6.252Ki ± 1%
EquivalentConsumerHandling/batch/10-records/128B/none/kafka-go-16               4.978Ki ± 0%
EquivalentConsumerHandling/batch/10-records/128B/none/sarama-16                 3.563Ki ± 0%
EquivalentConsumerHandling/batch/10-records/128B/snappy/golib-policy-16         9.516Ki ± 1%
EquivalentConsumerHandling/batch/10-records/128B/snappy/raw-franz-go-16         6.203Ki ± 2%
EquivalentConsumerHandling/batch/10-records/128B/snappy/kafka-go-16             4.977Ki ± 0%
EquivalentConsumerHandling/batch/10-records/128B/snappy/sarama-16               3.563Ki ± 0%
EquivalentConsumerHandling/batch/100-records/128B/none/golib-policy-16          32.14Ki ± 1%
EquivalentConsumerHandling/batch/100-records/128B/none/raw-franz-go-16          14.33Ki ± 1%
EquivalentConsumerHandling/batch/100-records/128B/none/kafka-go-16              39.96Ki ± 0%
EquivalentConsumerHandling/batch/100-records/128B/none/sarama-16                11.49Ki ± 0%
EquivalentConsumerHandling/batch/100-records/128B/snappy/golib-policy-16        32.14Ki ± 0%
EquivalentConsumerHandling/batch/100-records/128B/snappy/raw-franz-go-16        14.33Ki ± 1%
EquivalentConsumerHandling/batch/100-records/128B/snappy/kafka-go-16            40.02Ki ± 8%
EquivalentConsumerHandling/batch/100-records/128B/snappy/sarama-16              11.49Ki ± 0%
EquivalentConsumerHandling/batch/10-records/1024B/none/golib-policy-16          9.668Ki ± 2%
EquivalentConsumerHandling/batch/10-records/1024B/none/raw-franz-go-16          6.219Ki ± 1%
EquivalentConsumerHandling/batch/10-records/1024B/none/kafka-go-16              13.73Ki ± 0%
EquivalentConsumerHandling/batch/10-records/1024B/none/sarama-16                3.563Ki ± 0%
EquivalentConsumerHandling/batch/10-records/1024B/snappy/golib-policy-16        9.720Ki ± 2%
EquivalentConsumerHandling/batch/10-records/1024B/snappy/raw-franz-go-16        6.373Ki ± 3%
EquivalentConsumerHandling/batch/10-records/1024B/snappy/kafka-go-16            13.73Ki ± 0%
EquivalentConsumerHandling/batch/10-records/1024B/snappy/sarama-16              3.563Ki ± 0%
EquivalentConsumerHandling/batch/100-records/1024B/none/golib-policy-16         162.4Ki ± 0%
EquivalentConsumerHandling/batch/100-records/1024B/none/raw-franz-go-16         144.5Ki ± 0%
EquivalentConsumerHandling/batch/100-records/1024B/none/kafka-go-16             167.6Ki ± 4%
EquivalentConsumerHandling/batch/100-records/1024B/none/sarama-16               142.7Ki ± 0%
EquivalentConsumerHandling/batch/100-records/1024B/snappy/golib-policy-16       32.14Ki ± 0%
EquivalentConsumerHandling/batch/100-records/1024B/snappy/raw-franz-go-16       14.34Ki ± 1%
EquivalentConsumerHandling/batch/100-records/1024B/snappy/kafka-go-16           137.4Ki ± 2%
EquivalentConsumerHandling/batch/100-records/1024B/snappy/sarama-16             11.49Ki ± 0%
geomean                                                                         10.21Ki

                                                                          │ raw-consumer.txt │
                                                                          │    allocs/op     │
EquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16             110.0 ± 0%
EquivalentConsumerHandling/record/1-records/128B/none/raw-franz-go-16             86.00 ± 0%
EquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16                 19.00 ± 0%
EquivalentConsumerHandling/record/1-records/128B/none/sarama-16                   116.0 ± 3%
EquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16           110.0 ± 0%
EquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16           86.00 ± 0%
EquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16               19.00 ± 0%
EquivalentConsumerHandling/record/1-records/128B/snappy/sarama-16                 108.5 ± 7%
EquivalentConsumerHandling/record/1-records/1024B/none/golib-policy-16            110.0 ± 0%
EquivalentConsumerHandling/record/1-records/1024B/none/raw-franz-go-16            86.00 ± 0%
EquivalentConsumerHandling/record/1-records/1024B/none/kafka-go-16                19.00 ± 0%
EquivalentConsumerHandling/record/1-records/1024B/none/sarama-16                  106.0 ± 6%
EquivalentConsumerHandling/record/1-records/1024B/snappy/golib-policy-16          110.0 ± 0%
EquivalentConsumerHandling/record/1-records/1024B/snappy/raw-franz-go-16          86.00 ± 0%
