goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
                                                                                   │ raw-producer-batch.next.txt │
                                                                                   │           sec/op            │
EquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16                        508.6µ ± 20%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/none/raw-franz-go-16                        310.4µ ±  8%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16                              6.646m ±  2%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16                      306.2µ ±  7%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16                      290.9µ ±  4%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16                            6.502m ±  4%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16                       356.4µ ±  8%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/none/raw-franz-go-16                       303.3µ ±  3%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/none/sarama-16                             6.696m ±  3%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/snappy/golib-policy-16                     346.7µ ± 12%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/snappy/raw-franz-go-16                     883.3µ ± 70%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/snappy/sarama-16                           7.006m ±  2%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/none/golib-policy-16                       282.6µ ±  5%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/none/raw-franz-go-16                       261.5µ ±  5%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/none/sarama-16                             6.616m ±  4%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/snappy/golib-policy-16                     272.0µ ±  7%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/snappy/raw-franz-go-16                     250.5µ ±  3%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/snappy/sarama-16                           7.005m ±  3%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/none/golib-policy-16                      626.4µ ± 20%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/none/raw-franz-go-16                      832.0µ ± 30%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/none/sarama-16                            8.576m ± 13%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/snappy/golib-policy-16                    460.6µ ± 26%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/snappy/raw-franz-go-16                    315.1µ ±  3%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/snappy/sarama-16                          6.661m ±  2%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/none/golib-policy-16                      223.8µ ±  8%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/none/raw-franz-go-16                      225.4µ ±  6%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/none/sarama-16                            6.575m ±  1%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/snappy/golib-policy-16                    203.8µ ±  6%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/snappy/raw-franz-go-16                    194.8µ ± 46%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/snappy/sarama-16                          6.546m ±  1%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/none/golib-policy-16                     269.5µ ±  6%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/none/raw-franz-go-16                     218.6µ ±  2%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/none/sarama-16                           6.701m ±  3%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/snappy/golib-policy-16                   282.0µ ± 11%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/snappy/raw-franz-go-16                   220.8µ ±  5%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/snappy/sarama-16                         6.812m ±  4%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/none/golib-policy-16                     423.2µ ± 76%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/none/raw-franz-go-16                     233.4µ ±  6%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/none/sarama-16                           6.517m ±  3%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/snappy/golib-policy-16                   294.9µ ±  3%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/snappy/raw-franz-go-16                   271.6µ ± 10%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/snappy/sarama-16                         6.438m ±  3%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/none/golib-policy-16                    472.5µ ±  4%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/none/raw-franz-go-16                    431.7µ ±  6%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/none/sarama-16                          6.941m ±  4%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/snappy/golib-policy-16                  361.4µ ±  4%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/snappy/raw-franz-go-16                  315.7µ ±  3%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/snappy/sarama-16                        6.741m ± 11%
geomean                                                                                             895.4µ

                                                                                   │ raw-producer-batch.next.txt │
                                                                                   │             B/s             │
EquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16                       2.656Mi ± 25%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/none/raw-franz-go-16                       4.334Mi ±  7%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16                             205.1Ki ±  5%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16                     4.392Mi ±  6%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16                     4.621Mi ±  4%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16                           214.8Ki ±  5%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16                      37.74Mi ±  8%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/none/raw-franz-go-16                      44.33Mi ±  4%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/none/sarama-16                            2.007Mi ±  3%
