goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
                                                                   │ raw-producer.next.txt │
                                                                   │        sec/op         │
EquivalentSynchronousProduce/keyed/128B/none/golib-policy-16                 462.4µ ±  39%
EquivalentSynchronousProduce/keyed/128B/none/raw-franz-go-16                 318.1µ ±   9%
EquivalentSynchronousProduce/keyed/128B/none/sarama-16                       6.805m ±   4%
EquivalentSynchronousProduce/keyed/128B/snappy/golib-policy-16               296.2µ ±   6%
EquivalentSynchronousProduce/keyed/128B/snappy/raw-franz-go-16               302.6µ ±  10%
EquivalentSynchronousProduce/keyed/128B/snappy/sarama-16                     6.588m ±   3%
EquivalentSynchronousProduce/keyed/1024B/none/golib-policy-16                347.7µ ±  39%
EquivalentSynchronousProduce/keyed/1024B/none/raw-franz-go-16                241.4µ ±   5%
EquivalentSynchronousProduce/keyed/1024B/none/sarama-16                      6.533m ±   1%
EquivalentSynchronousProduce/keyed/1024B/snappy/golib-policy-16              274.7µ ±  14%
EquivalentSynchronousProduce/keyed/1024B/snappy/raw-franz-go-16              239.2µ ±   5%
EquivalentSynchronousProduce/keyed/1024B/snappy/sarama-16                    6.595m ±   2%
EquivalentSynchronousProduce/keyed/65536B/none/golib-policy-16               399.1µ ±   5%
EquivalentSynchronousProduce/keyed/65536B/none/raw-franz-go-16               357.4µ ±   4%
EquivalentSynchronousProduce/keyed/65536B/none/sarama-16                     6.936m ±   3%
EquivalentSynchronousProduce/keyed/65536B/snappy/golib-policy-16             508.0µ ±  12%
EquivalentSynchronousProduce/keyed/65536B/snappy/raw-franz-go-16             342.8µ ±  48%
EquivalentSynchronousProduce/keyed/65536B/snappy/sarama-16                   7.129m ±  10%
EquivalentSynchronousProduce/unkeyed/128B/none/golib-policy-16               1.135m ±  17%
EquivalentSynchronousProduce/unkeyed/128B/none/raw-franz-go-16               954.8µ ±  14%
EquivalentSynchronousProduce/unkeyed/128B/none/sarama-16                     7.477m ±   4%
EquivalentSynchronousProduce/unkeyed/128B/snappy/golib-policy-16             938.7µ ±  11%
