benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	  11509004 ns/op	   0.03 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   31368 B/op	     465 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	   8006454 ns/op	   0.04 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   30313 B/op	     457 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	   5422292 ns/op	   0.06 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   30146 B/op	     458 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	   9256104 ns/op	   0.03 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29792 B/op	     455 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	   6191538 ns/op	   0.05 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29628 B/op	     453 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	   8134700 ns/op	   0.04 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29589 B/op	     454 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	   6326196 ns/op	   0.05 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29628 B/op	     454 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	   6714196 ns/op	   0.05 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29485 B/op	     452 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	   7829450 ns/op	   0.04 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29384 B/op	     452 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	   6165513 ns/op	   0.05 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29507 B/op	     453 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	   8543434 ns/op	   0.04 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29876 B/op	     454 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	   7912088 ns/op	   0.04 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29463 B/op	     452 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	   6516250 ns/op	   0.05 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29435 B/op	     452 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	   9788808 ns/op	   0.03 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29697 B/op	     454 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	   6182050 ns/op	   0.05 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29712 B/op	     454 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	   7503750 ns/op	   0.04 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29473 B/op	     453 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	   5844312 ns/op	   0.05 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   30212 B/op	     458 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	   4997783 ns/op	   0.06 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29701 B/op	     454 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	   9161425 ns/op	   0.03 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29281 B/op	     450 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/golib-policy-16         	      10	   4119200 ns/op	   0.07 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29642 B/op	     453 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   8816792 ns/op	   0.03 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   27013 B/op	     421 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   5541008 ns/op	   0.06 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   27123 B/op	     421 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   4903387 ns/op	   0.06 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   27016 B/op	     421 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   5420979 ns/op	   0.06 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26886 B/op	     419 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   6399179 ns/op	   0.05 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26940 B/op	     420 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   7071308 ns/op	   0.04 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26933 B/op	     419 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   9647596 ns/op	   0.03 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26803 B/op	     417 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   5407013 ns/op	   0.06 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26876 B/op	     419 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   5605983 ns/op	   0.05 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26988 B/op	     420 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   6316938 ns/op	   0.05 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   27029 B/op	     421 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   5287258 ns/op	   0.06 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26864 B/op	     419 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   6769796 ns/op	   0.05 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26836 B/op	     419 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   4172088 ns/op	   0.07 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26912 B/op	     420 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   4954350 ns/op	   0.06 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26830 B/op	     418 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   5525996 ns/op	   0.06 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   27072 B/op	     421 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   2667492 ns/op	   0.12 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26974 B/op	     420 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   3149946 ns/op	   0.10 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   27192 B/op	     421 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   6003346 ns/op	   0.05 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26907 B/op	     418 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   2585125 ns/op	   0.12 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   27162 B/op	     421 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/none/raw-franz-go-16         	      10	   5535108 ns/op	   0.06 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   27030 B/op	     421 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	   3209975 ns/op	   0.10 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   31280 B/op	     454 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	   2598621 ns/op	   0.12 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29539 B/op	     453 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	   3083854 ns/op	   0.10 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29732 B/op	     454 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	   2635996 ns/op	   0.12 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29767 B/op	     454 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	   2650246 ns/op	   0.12 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   32103 B/op	     455 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	   3063821 ns/op	   0.10 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29608 B/op	     454 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	   3766863 ns/op	   0.08 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29524 B/op	     453 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	   2815067 ns/op	   0.11 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   30558 B/op	     455 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	  17033162 ns/op	   0.02 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29726 B/op	     455 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	   7430463 ns/op	   0.04 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29436 B/op	     452 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	   4755100 ns/op	   0.06 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29632 B/op	     452 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	   4771546 ns/op	   0.06 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   30481 B/op	     454 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	   5524600 ns/op	   0.06 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29663 B/op	     454 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	   5075350 ns/op	   0.06 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29432 B/op	     452 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	   4232408 ns/op	   0.07 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   31675 B/op	     455 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	   6270325 ns/op	   0.05 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29401 B/op	     450 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	   6649429 ns/op	   0.05 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29550 B/op	     452 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	   4640062 ns/op	   0.07 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29731 B/op	     453 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	  10311783 ns/op	   0.03 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   29892 B/op	     460 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/golib-policy-16       	      10	   3638350 ns/op	   0.08 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   30999 B/op	     451 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   3655454 ns/op	   0.08 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26870 B/op	     418 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   4574000 ns/op	   0.07 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26708 B/op	     417 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   4196104 ns/op	   0.07 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26933 B/op	     420 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   4184342 ns/op	   0.07 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   27120 B/op	     422 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   5684521 ns/op	   0.05 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26590 B/op	     416 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   2534529 ns/op	   0.12 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26776 B/op	     418 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   7364179 ns/op	   0.04 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   27380 B/op	     421 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   3913171 ns/op	   0.08 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26989 B/op	     420 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   6009542 ns/op	   0.05 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   27019 B/op	     420 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   4163404 ns/op	   0.07 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   27534 B/op	     417 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   3603104 ns/op	   0.09 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26756 B/op	     417 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   3479671 ns/op	   0.09 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   27972 B/op	     420 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   3227162 ns/op	   0.10 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26868 B/op	     419 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   3863850 ns/op	   0.08 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26851 B/op	     419 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   3593962 ns/op	   0.09 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26772 B/op	     417 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   3478975 ns/op	   0.09 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26981 B/op	     419 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   3218108 ns/op	   0.10 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26110 B/op	     410 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   3948554 ns/op	   0.08 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   27584 B/op	     418 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   3377987 ns/op	   0.09 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   28854 B/op	     422 allocs/op
BenchmarkEquivalentConsumeTransformProduce/1-records/128B/snappy/raw-franz-go-16       	      10	   7516412 ns/op	   0.04 MB/s	         1.000 output-records/op	         1.000 source-records/op	         1.000 transactions/op	   26560 B/op	     415 allocs/op
BenchmarkEquivalentConsumeTransformProduce/10-records/128B/none/golib-policy-16        	      10	  17837308 ns/op	   0.17 MB/s	        10.00 output-records/op	        10.00 source-records/op	         1.000 transactions/op	   79138 B/op	    1068 allocs/op
BenchmarkEquivalentConsumeTransformProduce/10-records/128B/none/golib-policy-16        	      10	  13639950 ns/op	   0.23 MB/s	        10.00 output-records/op	        10.00 source-records/op	         1.000 transactions/op	   78858 B/op	    1068 allocs/op
BenchmarkEquivalentConsumeTransformProduce/10-records/128B/none/golib-policy-16        	      10	   9835950 ns/op	   0.31 MB/s	        10.00 output-records/op	        10.00 source-records/op	         1.000 transactions/op	   79580 B/op	    1069 allocs/op
BenchmarkEquivalentConsumeTransformProduce/10-records/128B/none/golib-policy-16        	      10	   9061892 ns/op	   0.34 MB/s	        10.00 output-records/op	        10.00 source-records/op	         1.000 transactions/op	   80177 B/op	    1073 allocs/op
BenchmarkEquivalentConsumeTransformProduce/10-records/128B/none/golib-policy-16        	      10	   9131684 ns/op	   0.34 MB/s	        10.00 output-records/op	        10.00 source-records/op	         1.000 transactions/op	   80074 B/op	    1071 allocs/op
BenchmarkEquivalentConsumeTransformProduce/10-records/128B/none/golib-policy-16        	      10	   7819846 ns/op	   0.39 MB/s	        10.00 output-records/op	        10.00 source-records/op	         1.000 transactions/op	   79365 B/op	    1070 allocs/op
BenchmarkEquivalentConsumeTransformProduce/10-records/128B/none/golib-policy-16        	      10	  13080062 ns/op	   0.24 MB/s	        10.00 output-records/op	        10.00 source-records/op	         1.000 transactions/op	   78591 B/op	    1067 allocs/op
BenchmarkEquivalentConsumeTransformProduce/10-records/128B/none/golib-policy-16        	      10	  14107567 ns/op	   0.22 MB/s	        10.00 output-records/op	        10.00 source-records/op	         1.000 transactions/op	   79286 B/op	    1070 allocs/op
BenchmarkEquivalentConsumeTransformProduce/10-records/128B/none/golib-policy-16        	      10	   9570417 ns/op	   0.32 MB/s	        10.00 output-records/op	        10.00 source-records/op	         1.000 transactions/op	   79640 B/op	    1070 allocs/op
BenchmarkEquivalentConsumeTransformProduce/10-records/128B/none/golib-policy-16        	      10	   9911300 ns/op	   0.31 MB/s	        10.00 output-records/op	        10.00 source-records/op	         1.000 transactions/op	   79346 B/op	    1069 allocs/op
