benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	  16603292 ns/op	   0.08 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29818 B/op	     315 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	  10510592 ns/op	   0.12 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   28800 B/op	     307 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	  10956429 ns/op	   0.12 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29301 B/op	     312 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	   3716742 ns/op	   0.35 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   28646 B/op	     307 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	   3262696 ns/op	   0.39 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29232 B/op	     313 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	   8055971 ns/op	   0.16 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   25996 B/op	     291 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	   2291946 ns/op	   0.56 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   28952 B/op	     307 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	   2238071 ns/op	   0.58 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   28258 B/op	     303 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	   1831304 ns/op	   0.70 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29570 B/op	     314 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	   2029613 ns/op	   0.63 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29715 B/op	     313 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	   2109404 ns/op	   0.61 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29313 B/op	     312 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	   2329042 ns/op	   0.55 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   28630 B/op	     307 allocs/op
