benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	  19045408 ns/op	   0.01 MB/s	         1.000 records/op	    7261 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	  22087796 ns/op	   0.01 MB/s	         1.000 records/op	    7176 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	   7115550 ns/op	   0.02 MB/s	         1.000 records/op	    7224 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	   4771858 ns/op	   0.03 MB/s	         1.000 records/op	    7128 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	   4004054 ns/op	   0.04 MB/s	         1.000 records/op	    7128 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	   4020750 ns/op	   0.04 MB/s	         1.000 records/op	    7128 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	   6613558 ns/op	   0.02 MB/s	         1.000 records/op	    7232 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	   8350158 ns/op	   0.02 MB/s	         1.000 records/op	    7232 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	   6767467 ns/op	   0.02 MB/s	         1.000 records/op	    7232 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	   6267442 ns/op	   0.02 MB/s	         1.000 records/op	    7234 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	   7411988 ns/op	   0.02 MB/s	         1.000 records/op	    7128 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	   7131679 ns/op	   0.02 MB/s	         1.000 records/op	    7252 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	   2114933 ns/op	   0.07 MB/s	         1.000 records/op	    7232 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	   4305883 ns/op	   0.04 MB/s	         1.000 records/op	    7232 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	   5122850 ns/op	   0.03 MB/s	         1.000 records/op	    7128 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	   5064529 ns/op	   0.03 MB/s	         1.000 records/op	    7232 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	   5074017 ns/op	   0.03 MB/s	         1.000 records/op	    7232 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	   4502767 ns/op	   0.03 MB/s	         1.000 records/op	    7232 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	   3488683 ns/op	   0.04 MB/s	         1.000 records/op	    7300 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/golib-policy-16         	      10	   6925988 ns/op	   0.02 MB/s	         1.000 records/op	    7232 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/raw-franz-go-16         	      10	   3796517 ns/op	   0.04 MB/s	         1.000 records/op	    5488 B/op	      86 allocs/op
