benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/golib-policy-16         	      50	   7974188 ns/op	   0.18 MB/s	        10.00 records/op	   17265 B/op	     199 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/golib-policy-16         	      50	   8221156 ns/op	   0.17 MB/s	        10.00 records/op	   17264 B/op	     199 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/golib-policy-16         	      50	   7070297 ns/op	   0.20 MB/s	        10.00 records/op	   17214 B/op	     199 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/golib-policy-16         	      50	   7296478 ns/op	   0.19 MB/s	        10.00 records/op	   17313 B/op	     200 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/golib-policy-16         	      50	   7073477 ns/op	   0.20 MB/s	        10.00 records/op	   17335 B/op	     200 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/golib-policy-16         	      50	   6623248 ns/op	   0.21 MB/s	        10.00 records/op	   17259 B/op	     200 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/golib-policy-16         	      50	   6662443 ns/op	   0.21 MB/s	        10.00 records/op	   17160 B/op	     199 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/golib-policy-16         	      50	   6513706 ns/op	   0.22 MB/s	        10.00 records/op	   17295 B/op	     199 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/golib-policy-16         	      50	   6619356 ns/op	   0.21 MB/s	        10.00 records/op	   17228 B/op	     200 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/golib-policy-16         	      50	   6900432 ns/op	   0.20 MB/s	        10.00 records/op	   17238 B/op	     200 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/golib-policy-16         	      50	   6409673 ns/op	   0.22 MB/s	        10.00 records/op	   17133 B/op	     199 allocs/op
