benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16         	      50	    868079 ns/op	   1.62 MB/s	        10.00 records/op	   10764 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16         	      50	    721142 ns/op	   1.96 MB/s	        10.00 records/op	   10762 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16         	      50	    620967 ns/op	   2.27 MB/s	        10.00 records/op	   10851 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16         	      50	    632247 ns/op	   2.23 MB/s	        10.00 records/op	   10749 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16         	      50	    577903 ns/op	   2.44 MB/s	        10.00 records/op	   10737 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16         	      50	    474432 ns/op	   2.97 MB/s	        10.00 records/op	   10761 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16         	      50	    568312 ns/op	   2.48 MB/s	        10.00 records/op	   10779 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16         	      50	    542725 ns/op	   2.60 MB/s	        10.00 records/op	   10741 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16         	      50	    398731 ns/op	   3.54 MB/s	        10.00 records/op	   10764 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16         	      50	    411201 ns/op	   3.43 MB/s	        10.00 records/op	   10737 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16         	      50	    405623 ns/op	   3.48 MB/s	        10.00 records/op	   10845 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16         	      50	    374121 ns/op	   3.77 MB/s	        10.00 records/op	   10738 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16         	      50	    412546 ns/op	   3.42 MB/s	        10.00 records/op	   10841 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16         	      50	    558984 ns/op	   2.52 MB/s	        10.00 records/op	   10843 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16         	      50	    591942 ns/op	   2.38 MB/s	        10.00 records/op	   10814 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16         	      50	    410860 ns/op	   3.43 MB/s	        10.00 records/op	   10758 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16         	      50	    324797 ns/op	   4.34 MB/s	        10.00 records/op	   10836 B/op	     101 allocs/op
