benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/golib-policy-16         	      50	   6103756 ns/op	   1.89 MB/s	         8.000 partitions/op	        80.00 records/op	   59461 B/op	     361 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/golib-policy-16         	      50	   2890881 ns/op	   3.98 MB/s	         8.000 partitions/op	        80.00 records/op	   63261 B/op	     362 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/golib-policy-16         	      50	   2418708 ns/op	   4.76 MB/s	         8.000 partitions/op	        80.00 records/op	   56924 B/op	     361 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/golib-policy-16         	      50	   3758419 ns/op	   3.06 MB/s	         8.000 partitions/op	        80.00 records/op	   58155 B/op	     361 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/golib-policy-16         	      50	   2960948 ns/op	   3.89 MB/s	         8.000 partitions/op	        80.00 records/op	   58192 B/op	     361 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/golib-policy-16         	      50	   3703614 ns/op	   3.11 MB/s	         8.000 partitions/op	        80.00 records/op	   59435 B/op	     361 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/golib-policy-16         	      50	   5381800 ns/op	   2.14 MB/s	         8.000 partitions/op	        80.00 records/op	   55556 B/op	     360 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/golib-policy-16         	      50	   5774375 ns/op	   1.99 MB/s	         8.000 partitions/op	        80.00 records/op	   54327 B/op	     360 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/golib-policy-16         	      50	   3135646 ns/op	   3.67 MB/s	         8.000 partitions/op	        80.00 records/op	   61932 B/op	     361 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/golib-policy-16         	      50	   2043562 ns/op	   5.63 MB/s	         8.000 partitions/op	        80.00 records/op	   60685 B/op	     361 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/golib-policy-16         	      50	   2043840 ns/op	   5.63 MB/s	         8.000 partitions/op	        80.00 records/op	   65769 B/op	     362 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/golib-policy-16         	      50	   1911048 ns/op	   6.02 MB/s	         8.000 partitions/op	        80.00 records/op	   59521 B/op	     361 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/golib-policy-16         	      50	   1582003 ns/op	   7.28 MB/s	         8.000 partitions/op	        80.00 records/op	   63188 B/op	     362 allocs/op
