benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  36739833 ns/op	   0.00 MB/s	         1.000 records/op	         1.000 transactions/op	   18249 B/op	     290 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  30289058 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   16876 B/op	     266 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  43548425 ns/op	   0.00 MB/s	         1.000 records/op	         1.000 transactions/op	   17319 B/op	     276 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  33647938 ns/op	   0.00 MB/s	         1.000 records/op	         1.000 transactions/op	   16971 B/op	     272 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  28820746 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17716 B/op	     288 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  25483696 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17516 B/op	     281 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  26524092 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17839 B/op	     288 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  23764062 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17792 B/op	     281 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  25035675 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17163 B/op	     273 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  20899250 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   15648 B/op	     250 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  26353471 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17928 B/op	     289 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  26939696 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   18228 B/op	     289 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  24700925 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17801 B/op	     288 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  24072433 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17864 B/op	     288 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  24291762 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   18176 B/op	     289 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  27262492 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   18425 B/op	     289 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  24767721 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17372 B/op	     281 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  26709567 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17697 B/op	     287 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  25370108 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   18069 B/op	     290 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/golib-policy-16         	      10	  24597433 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17857 B/op	     288 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  24058517 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   15605 B/op	     255 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  23423842 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   15603 B/op	     255 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  22185158 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   15684 B/op	     256 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  27684425 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   16096 B/op	     256 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  27502408 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   16080 B/op	     263 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  25393008 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   15940 B/op	     263 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  20274358 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   15268 B/op	     248 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  25136446 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   16096 B/op	     263 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  21990279 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   15076 B/op	     247 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  26246517 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   15744 B/op	     256 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  23478683 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   15657 B/op	     255 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  22031767 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   14634 B/op	     239 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  20827225 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   15234 B/op	     248 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  25567550 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   16010 B/op	     263 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  24115321 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   16246 B/op	     264 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  23792475 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   15636 B/op	     255 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  25203683 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   16062 B/op	     263 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  25252562 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   16148 B/op	     263 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  24082204 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   14774 B/op	     240 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/raw-franz-go-16         	      10	  19643354 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   14420 B/op	     233 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	   9096779 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10356 B/op	     166 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	   8231850 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10356 B/op	     166 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	   8595279 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10330 B/op	     166 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	   7803179 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10355 B/op	     166 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	   7252579 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10363 B/op	     166 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	   7644708 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10344 B/op	     166 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	   7921746 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10356 B/op	     166 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	   7331308 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10382 B/op	     167 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	   7733692 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10325 B/op	     166 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	   7552138 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10315 B/op	     166 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	   7113112 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10343 B/op	     166 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	   8736454 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10363 B/op	     166 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	   8704588 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10339 B/op	     166 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	  16170775 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   10339 B/op	     166 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	   9724012 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10382 B/op	     167 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	   8969154 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10332 B/op	     166 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	   8878629 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10325 B/op	     166 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	   8498958 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10368 B/op	     166 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	   8429254 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10382 B/op	     167 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/none/sarama-16               	      10	   8292592 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10343 B/op	     166 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  24326167 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   19472 B/op	     289 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  23962638 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17786 B/op	     288 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  24181975 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17275 B/op	     280 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  23807238 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   20276 B/op	     288 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  23268367 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17257 B/op	     280 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  20338012 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   18660 B/op	     274 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  22119733 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17814 B/op	     273 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  29274846 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17699 B/op	     288 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  22847462 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   19133 B/op	     282 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  24031675 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   19469 B/op	     288 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  23473183 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   19939 B/op	     281 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  23533771 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17716 B/op	     288 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  24865029 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   20403 B/op	     289 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  20992162 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17043 B/op	     274 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  22855200 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   19980 B/op	     281 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  19737771 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   18367 B/op	     267 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  22231971 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17472 B/op	     280 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  23635554 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17964 B/op	     288 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  23444846 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   19464 B/op	     288 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/golib-policy-16       	      10	  22665725 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17315 B/op	     280 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/raw-franz-go-16       	      10	  21714000 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   15284 B/op	     248 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/raw-franz-go-16       	      10	  20714767 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   15057 B/op	     241 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/raw-franz-go-16       	      10	  20406183 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   15145 B/op	     248 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/raw-franz-go-16       	      10	  26195962 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   15696 B/op	     256 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/raw-franz-go-16       	      10	  24248800 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   16889 B/op	     264 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/raw-franz-go-16       	      10	  23299950 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   18588 B/op	     264 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/raw-franz-go-16       	      10	  23395192 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   15905 B/op	     262 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/raw-franz-go-16       	      10	  24321562 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   16924 B/op	     263 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/raw-franz-go-16       	      10	  13450329 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   13694 B/op	     218 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/raw-franz-go-16       	      10	  11578788 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   12404 B/op	     195 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/raw-franz-go-16       	      10	  14713192 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   13701 B/op	     218 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/raw-franz-go-16       	      10	  18969533 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   14668 B/op	     240 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/raw-franz-go-16       	      10	  20192150 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   15074 B/op	     247 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/raw-franz-go-16       	      10	  24099754 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   17923 B/op	     266 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/raw-franz-go-16       	      10	  23595462 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   18743 B/op	     265 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/raw-franz-go-16       	      10	  24220646 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   15592 B/op	     256 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/raw-franz-go-16       	      10	  18266292 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   14860 B/op	     241 allocs/op
