benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	   8802438 ns/op	         1.000 partitions/op	   40946 B/op	     446 allocs/op
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	   6449704 ns/op	         1.000 partitions/op	   40919 B/op	     446 allocs/op
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	  10662358 ns/op	         1.000 partitions/op	   40852 B/op	     446 allocs/op
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	   8241200 ns/op	         1.000 partitions/op	   40635 B/op	     446 allocs/op
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	  12229812 ns/op	         1.000 partitions/op	   40716 B/op	     446 allocs/op
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	   5090212 ns/op	         1.000 partitions/op	   40743 B/op	     446 allocs/op
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	   5250733 ns/op	         1.000 partitions/op	   40843 B/op	     446 allocs/op
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	   5602100 ns/op	         1.000 partitions/op	   40777 B/op	     446 allocs/op
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	   4389467 ns/op	         1.000 partitions/op	   40811 B/op	     446 allocs/op
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	   4836433 ns/op	         1.000 partitions/op	   40646 B/op	     446 allocs/op
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	   5409383 ns/op	         1.000 partitions/op	   40704 B/op	     445 allocs/op
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	   5146654 ns/op	         1.000 partitions/op	   40704 B/op	     445 allocs/op
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	   7268642 ns/op	         1.000 partitions/op	   40894 B/op	     446 allocs/op
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	   9700912 ns/op	         1.000 partitions/op	   40707 B/op	     446 allocs/op
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	   7922871 ns/op	         1.000 partitions/op	   40844 B/op	     446 allocs/op
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	   4670525 ns/op	         1.000 partitions/op	   40811 B/op	     446 allocs/op
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	   4427075 ns/op	         1.000 partitions/op	   40706 B/op	     445 allocs/op
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	   5026396 ns/op	         1.000 partitions/op	   40793 B/op	     446 allocs/op
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	   4387529 ns/op	         1.000 partitions/op	   40946 B/op	     446 allocs/op
BenchmarkEquivalentInspection/1-partitions/golib-policy-16         	      10	   3900800 ns/op	         1.000 partitions/op	   40735 B/op	     446 allocs/op
BenchmarkEquivalentInspection/1-partitions/raw-franz-go-16         	      10	   2693638 ns/op	         1.000 partitions/op	   40304 B/op	     438 allocs/op
BenchmarkEquivalentInspection/1-partitions/raw-franz-go-16         	      10	   3014542 ns/op	         1.000 partitions/op	   40248 B/op	     438 allocs/op
BenchmarkEquivalentInspection/1-partitions/raw-franz-go-16         	      10	   5814729 ns/op	         1.000 partitions/op	   40220 B/op	     438 allocs/op
BenchmarkEquivalentInspection/1-partitions/raw-franz-go-16         	      10	   3103696 ns/op	         1.000 partitions/op	   40344 B/op	     439 allocs/op
BenchmarkEquivalentInspection/1-partitions/raw-franz-go-16         	      10	   2629717 ns/op	         1.000 partitions/op	   40210 B/op	     437 allocs/op
BenchmarkEquivalentInspection/1-partitions/raw-franz-go-16         	      10	   1297150 ns/op	         1.000 partitions/op	   40354 B/op	     438 allocs/op
BenchmarkEquivalentInspection/1-partitions/raw-franz-go-16         	      10	   5297758 ns/op	         1.000 partitions/op	   40208 B/op	     437 allocs/op
BenchmarkEquivalentInspection/1-partitions/raw-franz-go-16         	      10	   2001967 ns/op	         1.000 partitions/op	   40313 B/op	     438 allocs/op
BenchmarkEquivalentInspection/1-partitions/raw-franz-go-16         	      10	   2338654 ns/op	         1.000 partitions/op	   40116 B/op	     437 allocs/op
BenchmarkEquivalentInspection/1-partitions/raw-franz-go-16         	      10	   4251504 ns/op	         1.000 partitions/op	   40253 B/op	     438 allocs/op
BenchmarkEquivalentInspection/1-partitions/raw-franz-go-16         	      10	   3850100 ns/op	         1.000 partitions/op	   40226 B/op	     438 allocs/op
BenchmarkEquivalentInspection/1-partitions/raw-franz-go-16         	      10	   4366333 ns/op	         1.000 partitions/op	   40232 B/op	     438 allocs/op
BenchmarkEquivalentInspection/1-partitions/raw-franz-go-16         	      10	   6872362 ns/op	         1.000 partitions/op	   40104 B/op	     437 allocs/op
