benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	  24325334 ns/op	   0.06 MB/s	        10.00 records/op	  156608 B/op	    1311 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	  20656333 ns/op	   0.07 MB/s	        10.00 records/op	  156576 B/op	    1307 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	  11702750 ns/op	   0.13 MB/s	        10.00 records/op	  159616 B/op	    1322 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	  11924667 ns/op	   0.13 MB/s	        10.00 records/op	  155808 B/op	    1304 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	  13661375 ns/op	   0.11 MB/s	        10.00 records/op	  156272 B/op	    1302 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	   8101667 ns/op	   0.19 MB/s	        10.00 records/op	  155424 B/op	    1303 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	   9221125 ns/op	   0.16 MB/s	        10.00 records/op	  156320 B/op	    1308 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	   9298833 ns/op	   0.16 MB/s	        10.00 records/op	  155376 B/op	    1302 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	   8153792 ns/op	   0.19 MB/s	        10.00 records/op	  156384 B/op	    1309 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	  10738000 ns/op	   0.14 MB/s	        10.00 records/op	  155344 B/op	    1301 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	   6866208 ns/op	   0.22 MB/s	        10.00 records/op	  155360 B/op	    1302 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	   8800958 ns/op	   0.17 MB/s	        10.00 records/op	  156760 B/op	    1306 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	   6875250 ns/op	   0.22 MB/s	        10.00 records/op	  159240 B/op	    1314 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	   6798125 ns/op	   0.22 MB/s	        10.00 records/op	  156192 B/op	    1306 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	   9354166 ns/op	   0.16 MB/s	        10.00 records/op	  155376 B/op	    1302 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	  13128500 ns/op	   0.12 MB/s	        10.00 records/op	  158240 B/op	    1308 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	  12200083 ns/op	   0.12 MB/s	        10.00 records/op	  155552 B/op	    1304 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	  14067042 ns/op	   0.11 MB/s	        10.00 records/op	  155640 B/op	    1309 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	   9261958 ns/op	   0.16 MB/s	        10.00 records/op	  157976 B/op	    1308 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	   8399083 ns/op	   0.18 MB/s	        10.00 records/op	  155360 B/op	    1302 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	  11893416 ns/op	   0.13 MB/s	        10.00 records/op	  151880 B/op	    1254 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	  11215167 ns/op	   0.13 MB/s	        10.00 records/op	  151392 B/op	    1259 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	   6857500 ns/op	   0.22 MB/s	        10.00 records/op	  151424 B/op	    1252 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	  16534125 ns/op	   0.09 MB/s	        10.00 records/op	  150912 B/op	    1253 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	  46808416 ns/op	   0.03 MB/s	        10.00 records/op	  151728 B/op	    1255 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	  28177375 ns/op	   0.05 MB/s	        10.00 records/op	  150384 B/op	    1248 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	  25890625 ns/op	   0.06 MB/s	        10.00 records/op	  150392 B/op	    1253 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	  17951208 ns/op	   0.08 MB/s	        10.00 records/op	  150480 B/op	    1250 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	  18185291 ns/op	   0.08 MB/s	        10.00 records/op	  149944 B/op	    1252 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	  16251625 ns/op	   0.09 MB/s	        10.00 records/op	  150928 B/op	    1253 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	  11182833 ns/op	   0.14 MB/s	        10.00 records/op	  150496 B/op	    1251 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	  12769333 ns/op	   0.12 MB/s	        10.00 records/op	  149448 B/op	    1248 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	  13829583 ns/op	   0.11 MB/s	        10.00 records/op	  149896 B/op	    1251 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	  18836583 ns/op	   0.08 MB/s	        10.00 records/op	  150528 B/op	    1251 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	  19912000 ns/op	   0.08 MB/s	        10.00 records/op	  150928 B/op	    1253 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	  15145125 ns/op	   0.10 MB/s	        10.00 records/op	  151528 B/op	    1252 allocs/op
