benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentInspectionIdleResources/golib-policy-16         	       1	 502025833 ns/op	         2.000 closed-connections/op	         2.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	     36136 idle-heap-bytes	       176.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/golib-policy-16         	       1	 501816625 ns/op	         2.000 closed-connections/op	         2.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	     29840 idle-heap-bytes	       162.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/golib-policy-16         	       1	 504119458 ns/op	         2.000 closed-connections/op	         2.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	     29984 idle-heap-bytes	       163.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/golib-policy-16         	       1	 501962083 ns/op	         2.000 closed-connections/op	         2.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	     32696 idle-heap-bytes	       170.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/golib-policy-16         	       1	 500204958 ns/op	         2.000 closed-connections/op	         2.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	     32928 idle-heap-bytes	       169.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/golib-policy-16         	       1	 501701667 ns/op	         2.000 closed-connections/op	         2.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	     31984 idle-heap-bytes	       171.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/golib-policy-16         	       1	 500225792 ns/op	         2.000 closed-connections/op	         2.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	     30784 idle-heap-bytes	       166.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/golib-policy-16         	       1	 502022834 ns/op	         2.000 closed-connections/op	         2.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	     30720 idle-heap-bytes	       169.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/golib-policy-16         	       1	 501732000 ns/op	         2.000 closed-connections/op	         2.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	     29712 idle-heap-bytes	       160.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/golib-policy-16         	       1	 501352833 ns/op	         2.000 closed-connections/op	         2.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	     29712 idle-heap-bytes	       160.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/raw-franz-go-16         	       1	 501993458 ns/op	         2.000 closed-connections/op	         2.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	     30560 idle-heap-bytes	       149.0 idle-heap-objects
