goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
                                                          │ raw-replay.txt │
                                                          │     sec/op     │
EquivalentReplay/10-records/128B/none/golib-policy-16         9.326m ± 31%
EquivalentReplay/10-records/128B/none/raw-franz-go-16         15.70m ± 20%
EquivalentReplay/10-records/128B/none/kafka-go-16             391.9m ±  2%
EquivalentReplay/10-records/128B/none/sarama-16               630.3m ±  6%
EquivalentReplay/10-records/128B/snappy/golib-policy-16       12.37m ± 45%
EquivalentReplay/10-records/128B/snappy/raw-franz-go-16       14.43m ± 38%
EquivalentReplay/10-records/128B/snappy/kafka-go-16           407.8m ±  3%
EquivalentReplay/10-records/128B/snappy/sarama-16             635.1m ±  2%
EquivalentReplay/10-records/1024B/none/golib-policy-16        30.53m ± 32%
EquivalentReplay/10-records/1024B/none/raw-franz-go-16        31.90m ± 41%
EquivalentReplay/10-records/1024B/none/kafka-go-16            432.0m ± 13%
EquivalentReplay/10-records/1024B/none/sarama-16              625.9m ±  1%
EquivalentReplay/10-records/1024B/snappy/golib-policy-16      22.45m ± 29%
EquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      17.90m ± 18%
EquivalentReplay/10-records/1024B/snappy/kafka-go-16          394.6m ±  2%
EquivalentReplay/10-records/1024B/snappy/sarama-16            615.1m ±  2%
EquivalentReplay/100-records/128B/none/golib-policy-16        24.25m ± 23%
EquivalentReplay/100-records/128B/none/raw-franz-go-16        17.07m ± 44%
EquivalentReplay/100-records/128B/none/kafka-go-16            406.3m ±  3%
EquivalentReplay/100-records/128B/none/sarama-16              613.9m ±  1%
EquivalentReplay/100-records/128B/snappy/golib-policy-16      7.855m ± 18%
EquivalentReplay/100-records/128B/snappy/raw-franz-go-16      13.35m ± 43%
EquivalentReplay/100-records/128B/snappy/kafka-go-16          412.4m ±  3%
EquivalentReplay/100-records/128B/snappy/sarama-16            627.1m ±  2%
EquivalentReplay/100-records/1024B/none/golib-policy-16       26.96m ± 36%
EquivalentReplay/100-records/1024B/none/raw-franz-go-16       9.706m ± 19%
EquivalentReplay/100-records/1024B/none/kafka-go-16           405.8m ±  2%
EquivalentReplay/100-records/1024B/none/sarama-16             621.9m ±  1%
EquivalentReplay/100-records/1024B/snappy/golib-policy-16     25.06m ± 38%
EquivalentReplay/100-records/1024B/snappy/raw-franz-go-16     15.51m ± 29%
EquivalentReplay/100-records/1024B/snappy/kafka-go-16         414.6m ±  4%
EquivalentReplay/100-records/1024B/snappy/sarama-16           622.1m ±  1%
geomean                                                       92.40m

                                                          │ raw-replay.txt │
                                                          │      B/s       │
EquivalentReplay/10-records/128B/none/golib-policy-16        156.2Ki ± 25%
EquivalentReplay/10-records/128B/none/raw-franz-go-16        92.77Ki ± 26%
EquivalentReplay/10-records/128B/snappy/golib-policy-16      122.1Ki ± 76%
EquivalentReplay/10-records/128B/snappy/raw-franz-go-16      102.5Ki ± 24%
EquivalentReplay/10-records/1024B/none/golib-policy-16       332.0Ki ± 24%
EquivalentReplay/10-records/1024B/none/raw-franz-go-16       322.3Ki ± 67%
EquivalentReplay/10-records/1024B/none/kafka-go-16           19.53Ki ± 50%
EquivalentReplay/10-records/1024B/none/sarama-16             19.53Ki ±  0%
EquivalentReplay/10-records/1024B/snappy/golib-policy-16     454.1Ki ± 27%
EquivalentReplay/10-records/1024B/snappy/raw-franz-go-16     571.3Ki ± 21%
EquivalentReplay/10-records/1024B/snappy/kafka-go-16         29.30Ki ±  0%
EquivalentReplay/10-records/1024B/snappy/sarama-16           19.53Ki ±  0%
EquivalentReplay/100-records/128B/none/golib-policy-16       605.5Ki ± 19%
EquivalentReplay/100-records/128B/none/raw-franz-go-16       864.3Ki ± 31%
EquivalentReplay/100-records/128B/none/kafka-go-16           39.06Ki ±  0%
EquivalentReplay/100-records/128B/none/sarama-16             19.53Ki ±  0%
EquivalentReplay/100-records/128B/snappy/golib-policy-16     1.831Mi ± 21%
EquivalentReplay/100-records/128B/snappy/raw-franz-go-16     1.078Mi ± 30%
EquivalentReplay/100-records/128B/snappy/kafka-go-16         39.06Ki ±  0%
EquivalentReplay/100-records/128B/snappy/sarama-16           19.53Ki ±  0%
EquivalentReplay/100-records/1024B/none/golib-policy-16      3.710Mi ± 35%
EquivalentReplay/100-records/1024B/none/raw-franz-go-16      10.29Mi ± 16%
EquivalentReplay/100-records/1024B/none/kafka-go-16          253.9Ki ±  4%
EquivalentReplay/100-records/1024B/none/sarama-16            166.0Ki ±  0%
EquivalentReplay/100-records/1024B/snappy/golib-policy-16    3.991Mi ± 28%
EquivalentReplay/100-records/1024B/snappy/raw-franz-go-16    6.442Mi ± 42%
EquivalentReplay/100-records/1024B/snappy/kafka-go-16        244.1Ki ±  4%
EquivalentReplay/100-records/1024B/snappy/sarama-16          166.0Ki ±  0%
geomean                                                      229.6Ki

                                                          │ raw-replay.txt │
                                                          │   records/op   │
EquivalentReplay/10-records/128B/none/golib-policy-16           10.00 ± 0%
EquivalentReplay/10-records/128B/none/raw-franz-go-16           10.00 ± 0%
EquivalentReplay/10-records/128B/none/kafka-go-16               10.00 ± 0%
EquivalentReplay/10-records/128B/none/sarama-16                 10.00 ± 0%
EquivalentReplay/10-records/128B/snappy/golib-policy-16         10.00 ± 0%
EquivalentReplay/10-records/128B/snappy/raw-franz-go-16         10.00 ± 0%
EquivalentReplay/10-records/128B/snappy/kafka-go-16             10.00 ± 0%
EquivalentReplay/10-records/128B/snappy/sarama-16               10.00 ± 0%
EquivalentReplay/10-records/1024B/none/golib-policy-16          10.00 ± 0%
EquivalentReplay/10-records/1024B/none/raw-franz-go-16          10.00 ± 0%
EquivalentReplay/10-records/1024B/none/kafka-go-16              10.00 ± 0%
EquivalentReplay/10-records/1024B/none/sarama-16                10.00 ± 0%
EquivalentReplay/10-records/1024B/snappy/golib-policy-16        10.00 ± 0%
EquivalentReplay/10-records/1024B/snappy/raw-franz-go-16        10.00 ± 0%
EquivalentReplay/10-records/1024B/snappy/kafka-go-16            10.00 ± 0%
EquivalentReplay/10-records/1024B/snappy/sarama-16              10.00 ± 0%
EquivalentReplay/100-records/128B/none/golib-policy-16          100.0 ± 0%
EquivalentReplay/100-records/128B/none/raw-franz-go-16          100.0 ± 0%
EquivalentReplay/100-records/128B/none/kafka-go-16              100.0 ± 0%
EquivalentReplay/100-records/128B/none/sarama-16                100.0 ± 0%
EquivalentReplay/100-records/128B/snappy/golib-policy-16        100.0 ± 0%
EquivalentReplay/100-records/128B/snappy/raw-franz-go-16        100.0 ± 0%
EquivalentReplay/100-records/128B/snappy/kafka-go-16            100.0 ± 0%
EquivalentReplay/100-records/128B/snappy/sarama-16              100.0 ± 0%
EquivalentReplay/100-records/1024B/none/golib-policy-16         100.0 ± 0%
EquivalentReplay/100-records/1024B/none/raw-franz-go-16         100.0 ± 0%
EquivalentReplay/100-records/1024B/none/kafka-go-16             100.0 ± 0%
EquivalentReplay/100-records/1024B/none/sarama-16               100.0 ± 0%
