benchmark-tls-broker-runtime=Apache Kafka 4.3.1 OpenSSL 3.5.7 TLS 1.3
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/golib-policy-16         	      10	   3736983 ns/op	   0.03 MB/s	    5212 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/golib-policy-16         	      10	   6612725 ns/op	   0.02 MB/s	    5336 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/golib-policy-16         	      10	   8721683 ns/op	   0.01 MB/s	    5232 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/golib-policy-16         	      10	  10266904 ns/op	   0.01 MB/s	    5208 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/golib-policy-16         	      10	   4307379 ns/op	   0.03 MB/s	    5406 B/op	      72 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/golib-policy-16         	      10	   8762996 ns/op	   0.01 MB/s	    5406 B/op	      72 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/golib-policy-16         	      10	  22286596 ns/op	   0.01 MB/s	    5383 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/golib-policy-16         	      10	  14027083 ns/op	   0.01 MB/s	    5511 B/op	      72 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/golib-policy-16         	      10	  10485042 ns/op	   0.01 MB/s	    5236 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/golib-policy-16         	      10	   6016229 ns/op	   0.02 MB/s	    5208 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/raw-franz-go-16         	      10	   3976067 ns/op	   0.03 MB/s	    4473 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/raw-franz-go-16         	      10	   1765817 ns/op	   0.07 MB/s	    4568 B/op	      61 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/raw-franz-go-16         	      10	  13808288 ns/op	   0.01 MB/s	    4568 B/op	      61 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/raw-franz-go-16         	      10	   7160125 ns/op	   0.02 MB/s	    4671 B/op	      61 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/raw-franz-go-16         	      10	   2020567 ns/op	   0.06 MB/s	    4368 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/raw-franz-go-16         	      10	   3332179 ns/op	   0.04 MB/s	    4671 B/op	      61 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/raw-franz-go-16         	      10	  13031575 ns/op	   0.01 MB/s	    4367 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/raw-franz-go-16         	      10	   6378271 ns/op	   0.02 MB/s	    4671 B/op	      61 allocs/op
