goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
                                                                              │ raw-authenticated.txt │
                                                                              │        sec/op         │
EquivalentAuthenticatedSynchronousProduce/mtls/128B/golib-policy-16                     8.330m ± 131%
EquivalentAuthenticatedSynchronousProduce/mtls/128B/raw-franz-go-16                     3.536m ±  88%
EquivalentAuthenticatedSynchronousProduce/mtls/128B/sarama-16                           13.38m ±  27%
EquivalentAuthenticatedSynchronousProduce/mtls/1024B/golib-policy-16                    3.011m ± 174%
EquivalentAuthenticatedSynchronousProduce/mtls/1024B/raw-franz-go-16                    2.949m ± 220%
EquivalentAuthenticatedSynchronousProduce/mtls/1024B/sarama-16                          8.399m ±  76%
EquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/golib-policy-16               709.1µ ± 260%
EquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/raw-franz-go-16               2.083m ± 122%
EquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/sarama-16                     7.633m ±  23%
EquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/golib-policy-16              473.5µ ± 107%
EquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/raw-franz-go-16              939.4µ ± 261%
EquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/sarama-16                    8.373m ±  44%
EquivalentAuthenticatedSynchronousProduce/scram-sha-256/128B/golib-policy-16            1.437m ±  50%
EquivalentAuthenticatedSynchronousProduce/scram-sha-256/128B/raw-franz-go-16            889.1µ ± 104%
EquivalentAuthenticatedSynchronousProduce/scram-sha-256/128B/sarama-16                  7.953m ±  15%
EquivalentAuthenticatedSynchronousProduce/scram-sha-256/1024B/golib-policy-16           846.5µ ±  55%
EquivalentAuthenticatedSynchronousProduce/scram-sha-256/1024B/raw-franz-go-16           605.4µ ± 238%
EquivalentAuthenticatedSynchronousProduce/scram-sha-256/1024B/sarama-16                 7.209m ±  23%
