goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka
cpu: Apple M4 Max
                                                                                     │ docs/performance-results/2026-08-10/raw-consumer-transaction-policy-overhead.txt │
                                                                                     │                                      sec/op                                      │
ConsumerPolicyOverhead/record/1-record/1-partition/transport-floor-16                                                                                     22.78n ±   0%
ConsumerPolicyOverhead/record/1-record/1-partition/policy-16                                                                                              1.073µ ±  64%
ConsumerPolicyOverhead/record/1-record/1-partition/policy-observed-16                                                                                     2.215µ ±   6%
ConsumerPolicyOverhead/record/10-records/1-partition/transport-floor-16                                                                                   55.00n ±   1%
ConsumerPolicyOverhead/record/10-records/1-partition/policy-16                                                                                            8.431µ ± 102%
ConsumerPolicyOverhead/record/10-records/1-partition/policy-observed-16                                                                                   21.67µ ± 354%
ConsumerPolicyOverhead/record/100-records/1-partition/transport-floor-16                                                                                  352.6n ±  32%
ConsumerPolicyOverhead/record/100-records/1-partition/policy-16                                                                                           56.76µ ± 105%
ConsumerPolicyOverhead/record/100-records/1-partition/policy-observed-16                                                                                  104.2µ ±  19%
ConsumerPolicyOverhead/record/100-records/4-partitions/sequential/transport-floor-16                                                                      367.9n ±  99%
ConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-16                                                                               54.62µ ±   2%
ConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-observed-16                                                                      103.6µ ±   1%
ConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/transport-floor-16                                                                      373.2n ±  91%
ConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-16                                                                               73.88µ ±   8%
ConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-observed-16                                                                      132.3µ ±   7%
ConsumerPolicyOverhead/batch/10-records/1-partition/transport-floor-16                                                                                    41.13n ±   1%
ConsumerPolicyOverhead/batch/10-records/1-partition/policy-16                                                                                             1.955µ ±   2%
ConsumerPolicyOverhead/batch/10-records/1-partition/policy-observed-16                                                                                    4.499µ ±  96%
ConsumerPolicyOverhead/batch/100-records/1-partition/transport-floor-16                                                                                   242.0n ±  13%
ConsumerPolicyOverhead/batch/100-records/1-partition/policy-16                                                                                            9.562µ ±  22%
ConsumerPolicyOverhead/batch/100-records/1-partition/policy-observed-16                                                                                   22.42µ ±   2%
ConsumerPolicyOverhead/batch/100-records/4-partitions/sequential/transport-floor-16                                                                       273.3n ± 102%
ConsumerPolicyOverhead/batch/100-records/4-partitions/sequential/policy-16                                                                                12.01µ ±  35%
ConsumerPolicyOverhead/batch/100-records/4-partitions/sequential/policy-observed-16                                                                       27.17µ ±  33%
ConsumerPolicyOverhead/batch/100-records/4-partitions/parallel-4/transport-floor-16                                                                       238.3n ±   4%
ConsumerPolicyOverhead/batch/100-records/4-partitions/parallel-4/policy-16                                                                                19.19µ ±  11%
ConsumerPolicyOverhead/batch/100-records/4-partitions/parallel-4/policy-observed-16                                                                       47.11µ ±  81%
TransactionProcessorPolicyOverhead/1-records/1024B/transport-floor-16                                                                                     23.67n ±  14%
TransactionProcessorPolicyOverhead/1-records/1024B/policy-16                                                                                              1.417µ ±   5%
TransactionProcessorPolicyOverhead/1-records/1024B/policy-observed-16                                                                                     2.074µ ±  13%
TransactionProcessorPolicyOverhead/10-records/1024B/transport-floor-16                                                                                    49.41n ±  63%
TransactionProcessorPolicyOverhead/10-records/1024B/policy-16                                                                                             8.635µ ±  20%
TransactionProcessorPolicyOverhead/10-records/1024B/policy-observed-16                                                                                    8.864µ ±   5%
TransactionProcessorPolicyOverhead/100-records/1024B/transport-floor-16                                                                                   348.9n ±  18%
TransactionProcessorPolicyOverhead/100-records/1024B/policy-16                                                                                            75.57µ ±   9%
TransactionProcessorPolicyOverhead/100-records/1024B/policy-observed-16                                                                                   77.36µ ±   9%
geomean                                                                                                                                                   3.207µ

                                                                                     │ docs/performance-results/2026-08-10/raw-consumer-transaction-policy-overhead.txt │
                                                                                     │                                       B/s                                        │
ConsumerPolicyOverhead/record/1-record/1-partition/transport-floor-16                                                                                     47.14Gi ±  0%
ConsumerPolicyOverhead/record/1-record/1-partition/policy-16                                                                                              1.002Gi ± 39%
ConsumerPolicyOverhead/record/1-record/1-partition/policy-observed-16                                                                                     496.5Mi ±  6%
ConsumerPolicyOverhead/record/10-records/1-partition/transport-floor-16                                                                                   195.2Gi ±  1%
ConsumerPolicyOverhead/record/10-records/1-partition/policy-16                                                                                            1.276Gi ± 51%
