goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka
cpu: Apple M4 Max
                                                                       │ raw-policy-overhead.txt │
                                                                       │         sec/op          │
ProducerPolicyOverhead/single/128B/transport-floor-16                               1.868n ±  1%
ProducerPolicyOverhead/single/128B/policy-16                                        453.9n ± 11%
ProducerPolicyOverhead/single/128B/policy-observed-16                               803.4n ±  3%
ProducerPolicyOverhead/single/1024B/transport-floor-16                              1.836n ±  0%
ProducerPolicyOverhead/single/1024B/policy-16                                       536.2n ± 24%
ProducerPolicyOverhead/single/1024B/policy-observed-16                              1.188µ ± 42%
ProducerPolicyOverhead/single/65536B/transport-floor-16                             1.849n ±  1%
ProducerPolicyOverhead/single/65536B/policy-16                                      5.888µ ± 49%
ProducerPolicyOverhead/single/65536B/policy-observed-16                             6.440µ ± 61%
ProducerPolicyOverhead/batch/10-records/128B/transport-floor-16                     42.11n ±  6%
ProducerPolicyOverhead/batch/10-records/128B/policy-16                              2.537µ ±  6%
ProducerPolicyOverhead/batch/10-records/128B/policy-observed-16                     3.464µ ± 22%
ProducerPolicyOverhead/batch/10-records/1024B/transport-floor-16                    44.48n ± 22%
ProducerPolicyOverhead/batch/10-records/1024B/policy-16                             3.373µ ± 18%
ProducerPolicyOverhead/batch/10-records/1024B/policy-observed-16                    3.877µ ± 43%
ProducerPolicyOverhead/batch/100-records/128B/transport-floor-16                    418.8n ± 39%
ProducerPolicyOverhead/batch/100-records/128B/policy-16                             21.26µ ±  3%
ProducerPolicyOverhead/batch/100-records/128B/policy-observed-16                    24.19µ ± 74%
ProducerPolicyOverhead/batch/100-records/1024B/transport-floor-16                   2.595µ ± 80%
ProducerPolicyOverhead/batch/100-records/1024B/policy-16                            43.47µ ± 97%
ProducerPolicyOverhead/batch/100-records/1024B/policy-observed-16                   33.07µ ±  3%
ProducerPolicyOverhead/async/10-records/128B/transport-floor-16                     16.09n ±  1%
ProducerPolicyOverhead/async/10-records/128B/policy-16                              6.046µ ± 10%
ProducerPolicyOverhead/async/10-records/128B/policy-observed-16                     9.715µ ± 16%
ProducerPolicyOverhead/async/10-records/1024B/transport-floor-16                    15.65n ±  2%
ProducerPolicyOverhead/async/10-records/1024B/policy-16                             7.782µ ± 18%
ProducerPolicyOverhead/async/10-records/1024B/policy-observed-16                    10.73µ ±  3%
ProducerPolicyOverhead/async/100-records/128B/transport-floor-16                    154.6n ±  1%
ProducerPolicyOverhead/async/100-records/128B/policy-16                             62.57µ ± 23%
ProducerPolicyOverhead/async/100-records/128B/policy-observed-16                    103.9µ ± 26%
ProducerPolicyOverhead/async/100-records/1024B/transport-floor-16                   154.8n ±  2%
ProducerPolicyOverhead/async/100-records/1024B/policy-16                            71.63µ ±  2%
ProducerPolicyOverhead/async/100-records/1024B/policy-observed-16                   106.0µ ±  1%
ProducerPolicyOverhead/transaction/1-records/1024B/transport-floor-16               1.835n ±  0%
ProducerPolicyOverhead/transaction/1-records/1024B/policy-16                        1.000µ ±  2%
ProducerPolicyOverhead/transaction/1-records/1024B/policy-observed-16               2.194µ ± 12%
ProducerPolicyOverhead/transaction/10-records/1024B/transport-floor-16              15.20n ±  1%
ProducerPolicyOverhead/transaction/10-records/1024B/policy-16                       7.784µ ±  4%
ProducerPolicyOverhead/transaction/10-records/1024B/policy-observed-16              8.345µ ± 23%
geomean                                                                             1.109µ

                                                                       │ raw-policy-overhead.txt │
                                                                       │           B/s           │
ProducerPolicyOverhead/single/128B/transport-floor-16                             128.1Gi ±   1%
ProducerPolicyOverhead/single/128B/policy-16                                      539.9Mi ±  10%
ProducerPolicyOverhead/single/128B/policy-observed-16                             305.1Mi ±   3%
ProducerPolicyOverhead/single/1024B/transport-floor-16                            584.9Gi ±   0%
ProducerPolicyOverhead/single/1024B/policy-16                                     2.003Gi ±  19%
ProducerPolicyOverhead/single/1024B/policy-observed-16                            928.4Mi ±  30%
ProducerPolicyOverhead/single/65536B/transport-floor-16                           32.30Ti ±   1%
ProducerPolicyOverhead/single/65536B/policy-16                                    10.39Gi ±  33%
ProducerPolicyOverhead/single/65536B/policy-observed-16                           9.502Gi ±  38%
ProducerPolicyOverhead/batch/10-records/128B/transport-floor-16                   56.85Gi ±   6%
ProducerPolicyOverhead/batch/10-records/128B/policy-16                            966.3Mi ±   6%
ProducerPolicyOverhead/batch/10-records/128B/policy-observed-16                   708.0Mi ±  18%
ProducerPolicyOverhead/batch/10-records/1024B/transport-floor-16                  241.5Gi ±  18%
ProducerPolicyOverhead/batch/10-records/1024B/policy-16                           3.183Gi ±  15%
ProducerPolicyOverhead/batch/10-records/1024B/policy-observed-16                  2.770Gi ±  30%
ProducerPolicyOverhead/batch/100-records/128B/transport-floor-16                  57.23Gi ±  28%
ProducerPolicyOverhead/batch/100-records/128B/policy-16                           1.126Gi ±   3%
ProducerPolicyOverhead/batch/100-records/128B/policy-observed-16                 1013.3Mi ±  42%
ProducerPolicyOverhead/batch/100-records/1024B/transport-floor-16                 41.92Gi ± 149%
ProducerPolicyOverhead/batch/100-records/1024B/policy-16                          2.472Gi ±  49%
ProducerPolicyOverhead/batch/100-records/1024B/policy-observed-16                 3.247Gi ±   3%
ProducerPolicyOverhead/async/10-records/128B/transport-floor-16                   148.8Gi ±   1%
