goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka
cpu: Apple M4 Max
BenchmarkConsumerPolicyOverhead/record/1-record/1-partition/transport-floor-16         	 5206356	        25.22 ns/op	45722.29 MB/s	       8 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/1-record/1-partition/transport-floor-16         	 5213386	        22.77 ns/op	50642.16 MB/s	       8 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/1-record/1-partition/transport-floor-16         	 5295100	        22.82 ns/op	50521.21 MB/s	       8 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/1-record/1-partition/transport-floor-16         	 5311564	        22.80 ns/op	50580.49 MB/s	       8 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/1-record/1-partition/transport-floor-16         	 5320219	        22.75 ns/op	50690.61 MB/s	       8 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/1-record/1-partition/transport-floor-16         	 5226518	        22.71 ns/op	50763.86 MB/s	       8 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/1-record/1-partition/transport-floor-16         	 5241900	        22.77 ns/op	50644.06 MB/s	       8 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/1-record/1-partition/transport-floor-16         	 5323346	        22.64 ns/op	50931.55 MB/s	       8 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/1-record/1-partition/transport-floor-16         	 5310046	        22.79 ns/op	50599.56 MB/s	       8 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/1-record/1-partition/transport-floor-16         	 5312192	        22.86 ns/op	50436.98 MB/s	       8 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/1-record/1-partition/policy-16                  	  112980	      1026 ns/op	1124.08 MB/s	    1568 B/op	      25 allocs/op
BenchmarkConsumerPolicyOverhead/record/1-record/1-partition/policy-16                  	  115144	      1031 ns/op	1118.17 MB/s	    1568 B/op	      25 allocs/op
BenchmarkConsumerPolicyOverhead/record/1-record/1-partition/policy-16                  	  117717	      1036 ns/op	1112.52 MB/s	    1568 B/op	      25 allocs/op
