goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka
cpu: Apple M4 Max
BenchmarkProducerPolicyOverhead/single/128B/transport-floor-16         	65669475	         1.840 ns/op	139640.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/transport-floor-16         	64829283	         1.847 ns/op	139132.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/transport-floor-16         	63785019	         1.865 ns/op	137781.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/transport-floor-16         	62355218	         1.874 ns/op	137167.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/transport-floor-16         	65690433	         1.891 ns/op	135920.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/transport-floor-16         	63827415	         1.871 ns/op	137333.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/transport-floor-16         	63587410	         1.938 ns/op	132613.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/transport-floor-16         	63866577	         1.846 ns/op	139231.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/transport-floor-16         	64601499	         1.844 ns/op	139399.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/transport-floor-16         	63139372	         1.889 ns/op	136065.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-16                  	  245448	       502.1 ns/op	 511.90 MB/s	     912 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-16                  	  211734	       506.7 ns/op	 507.17 MB/s	     912 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-16                  	  270062	       452.8 ns/op	 567.57 MB/s	     912 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-16                  	  268413	       452.3 ns/op	 568.19 MB/s	     912 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-16                  	  274360	       454.4 ns/op	 565.54 MB/s	     912 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-16                  	  280171	       460.8 ns/op	 557.70 MB/s	     912 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-16                  	  269596	       453.5 ns/op	 566.67 MB/s	     912 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-16                  	  278118	       452.6 ns/op	 567.79 MB/s	     912 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-16                  	  270325	       451.8 ns/op	 568.88 MB/s	     912 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-16                  	  270019	       472.5 ns/op	 543.92 MB/s	     912 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-observed-16         	  151927	       797.9 ns/op	 322.11 MB/s	    1272 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-observed-16         	  153378	       827.4 ns/op	 310.60 MB/s	    1272 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-observed-16         	  152719	       804.0 ns/op	 319.66 MB/s	    1272 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-observed-16         	  153295	       815.5 ns/op	 315.14 MB/s	    1272 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-observed-16         	  153594	       797.8 ns/op	 322.15 MB/s	    1272 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-observed-16         	  149119	       793.8 ns/op	 323.76 MB/s	    1272 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-observed-16         	  153745	       821.8 ns/op	 312.73 MB/s	    1272 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-observed-16         	  149370	       802.8 ns/op	 320.11 MB/s	    1272 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-observed-16         	  148122	       839.3 ns/op	 306.22 MB/s	    1272 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/128B/policy-observed-16         	  154585	       788.8 ns/op	 325.79 MB/s	    1272 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/transport-floor-16        	65520064	         1.837 ns/op	627638.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/transport-floor-16        	64257027	         1.841 ns/op	626163.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/transport-floor-16        	64617466	         1.855 ns/op	621632.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/transport-floor-16        	64350339	         1.841 ns/op	626397.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/transport-floor-16        	65860171	         1.835 ns/op	628462.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/transport-floor-16        	65366917	         1.833 ns/op	629062.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/transport-floor-16        	65125966	         1.836 ns/op	628077.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/transport-floor-16        	64835635	         1.834 ns/op	628779.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/transport-floor-16        	65343140	         1.834 ns/op	628535.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/transport-floor-16        	65641024	         1.836 ns/op	628049.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-16                 	  186248	       642.6 ns/op	1794.38 MB/s	    1808 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-16                 	  197046	       806.7 ns/op	1429.35 MB/s	    1808 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-16                 	  202986	       593.4 ns/op	1942.89 MB/s	    1808 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-16                 	  227768	       532.9 ns/op	2163.62 MB/s	    1808 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-16                 	  225531	       527.0 ns/op	2187.71 MB/s	    1808 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-16                 	  232598	       529.3 ns/op	2178.48 MB/s	    1808 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-16                 	  244826	       521.8 ns/op	2209.71 MB/s	    1808 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-16                 	  231369	       512.8 ns/op	2248.23 MB/s	    1808 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-16                 	  227343	       539.5 ns/op	2137.36 MB/s	    1808 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-16                 	  230835	       663.0 ns/op	1739.01 MB/s	    1808 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-observed-16        	  130500	       912.5 ns/op	1263.62 MB/s	    2168 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-observed-16        	  127233	       929.5 ns/op	1240.44 MB/s	    2168 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-observed-16        	  129078	       907.7 ns/op	1270.18 MB/s	    2168 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-observed-16        	  128235	      1044 ns/op	1104.21 MB/s	    2168 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-observed-16        	  130942	      1127 ns/op	1023.11 MB/s	    2168 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-observed-16        	  100395	      1683 ns/op	 685.00 MB/s	    2168 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-observed-16        	   66012	      2052 ns/op	 561.94 MB/s	    2168 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-observed-16        	  130662	      1611 ns/op	 715.58 MB/s	    2168 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-observed-16        	  110090	      1248 ns/op	 923.91 MB/s	    2168 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/1024B/policy-observed-16        	   69258	      1566 ns/op	 736.46 MB/s	    2168 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/transport-floor-16       	65131834	         1.872 ns/op	35080490.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/transport-floor-16       	62301252	         1.888 ns/op	34781549.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/transport-floor-16       	63097022	         1.848 ns/op	35540147.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/transport-floor-16       	63706947	         1.856 ns/op	35384603.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/transport-floor-16       	61305280	         1.848 ns/op	35532600.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/transport-floor-16       	65415878	         1.839 ns/op	35709814.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/transport-floor-16       	57224606	         1.863 ns/op	35249470.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/transport-floor-16       	64676952	         1.842 ns/op	35645381.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/transport-floor-16       	60166690	         1.850 ns/op	35496030.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/transport-floor-16       	65369838	         1.837 ns/op	35739089.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-16                	   19178	      5995 ns/op	10953.61 MB/s	   66321 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-16                	   21134	      6299 ns/op	10424.66 MB/s	   66321 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-16                	   21172	      6678 ns/op	9833.53 MB/s	   66321 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-16                	   10000	     10093 ns/op	6505.74 MB/s	   66321 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-16                	   12456	      8762 ns/op	7494.24 MB/s	   66321 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-16                	   22291	      5661 ns/op	11600.27 MB/s	   66320 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-16                	   22179	      5200 ns/op	12627.45 MB/s	   66320 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-16                	   21859	      5780 ns/op	11359.77 MB/s	   66320 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-16                	   20160	      5683 ns/op	11554.13 MB/s	   66321 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-16                	   25898	      4715 ns/op	13927.06 MB/s	   66320 B/op	      14 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-observed-16       	   23515	      5291 ns/op	12411.27 MB/s	   66680 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-observed-16       	   24291	      5221 ns/op	12577.93 MB/s	   66680 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-observed-16       	   10000	     12237 ns/op	5366.30 MB/s	   66682 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-observed-16       	   14990	     10390 ns/op	6319.98 MB/s	   66681 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-observed-16       	   20138	      6604 ns/op	9942.88 MB/s	   66681 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-observed-16       	   13224	      8351 ns/op	7862.86 MB/s	   66682 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-observed-16       	   19732	      6593 ns/op	9959.65 MB/s	   66681 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-observed-16       	   19558	      5842 ns/op	11239.76 MB/s	   66680 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-observed-16       	   19282	      6287 ns/op	10444.78 MB/s	   66680 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/single/65536B/policy-observed-16       	   20944	      5584 ns/op	11759.80 MB/s	   66680 B/op	      21 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/transport-floor-16         	 2908990	        43.24 ns/op	59431.60 MB/s	     240 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/transport-floor-16         	 2695659	        42.75 ns/op	60117.53 MB/s	     240 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/transport-floor-16         	 2777487	        44.76 ns/op	57419.20 MB/s	     240 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/transport-floor-16         	 2690203	        43.44 ns/op	59166.68 MB/s	     240 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/transport-floor-16         	 2835152	        41.47 ns/op	61966.85 MB/s	     240 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/transport-floor-16         	 2934753	        39.39 ns/op	65248.40 MB/s	     240 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/transport-floor-16         	 2580644	        43.38 ns/op	59239.00 MB/s	     240 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/transport-floor-16         	 2818867	        41.43 ns/op	62034.49 MB/s	     240 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/transport-floor-16         	 2750678	        41.16 ns/op	62443.28 MB/s	     240 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/transport-floor-16         	 3011931	        39.65 ns/op	64822.23 MB/s	     240 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/policy-16                  	   48834	      2482 ns/op	1035.43 MB/s	    6760 B/op	      81 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/policy-16                  	   49513	      2435 ns/op	1055.42 MB/s	    6760 B/op	      81 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/policy-16                  	   49206	      2604 ns/op	 987.06 MB/s	    6760 B/op	      81 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/policy-16                  	   47569	      2545 ns/op	1009.65 MB/s	    6760 B/op	      81 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/policy-16                  	   46950	      2519 ns/op	1020.35 MB/s	    6760 B/op	      81 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/policy-16                  	   49276	      2497 ns/op	1029.31 MB/s	    6760 B/op	      81 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/policy-16                  	   46998	      2539 ns/op	1012.13 MB/s	    6760 B/op	      81 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/policy-16                  	   47868	      2534 ns/op	1014.28 MB/s	    6760 B/op	      81 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/policy-16                  	   46632	      2695 ns/op	 953.59 MB/s	    6760 B/op	      81 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/128B/policy-16                  	   41586	      3645 ns/op	 705.00 MB/s	    6760 B/op	      81 allocs/op
