id	version	source	line	section	keyword	text
OAS-2.0-0001	2.0	oas/2.0/2.0.md	109	Fixed Fields	MUST	"<a name=""swaggerSwagger""></a>swagger | `string` | **Required.** Specifies the Swagger Specification version being used. It can be used by the Swagger UI and other clients to interpret the API listing. The value MUST be `""2.0""`."
OAS-2.0-0002	2.0	oas/2.0/2.0.md	111	Fixed Fields	MUST	"<a name=""swaggerHost""></a>host | `string` | The host (name or ip) serving the API. This MUST be the host only and does not include the scheme nor sub-paths. It MAY include a port. If the `host` is not included, the host serving the documentation is to be used (including the port). The `host` does not support [path templating](#path-templating)."
OAS-2.0-0003	2.0	oas/2.0/2.0.md	111	Fixed Fields	MAY	"<a name=""swaggerHost""></a>host | `string` | The host (name or ip) serving the API. This MUST be the host only and does not include the scheme nor sub-paths. It MAY include a port. If the `host` is not included, the host serving the documentation is to be used (including the port). The `host` does not support [path templating](#path-templating)."
OAS-2.0-0004	2.0	oas/2.0/2.0.md	112	Fixed Fields	MUST	"<a name=""swaggerBasePath""></a>basePath | `string` | The base path on which the API is served, which is relative to the [`host`](#swaggerHost). If it is not included, the API is served directly under the `host`. The value MUST start with a leading slash (`/`). The `basePath` does not support [path templating](#path-templating)."
OAS-2.0-0005	2.0	oas/2.0/2.0.md	113	Fixed Fields	MUST	"<a name=""swaggerSchemes""></a>schemes | [`string`] | The transfer protocol of the API. Values MUST be from the list: `""http""`, `""https""`, `""ws""`, `""wss""`. If the `schemes` is not included, the default scheme to be used is the one used to access the Swagger definition itself."
OAS-2.0-0006	2.0	oas/2.0/2.0.md	114	Fixed Fields	MUST	"<a name=""swaggerConsumes""></a>consumes | [`string`] | A list of MIME types the APIs can consume. This is global to all APIs but can be overridden on specific API calls. Value MUST be as described under [Mime Types](#mime-types)."
OAS-2.0-0007	2.0	oas/2.0/2.0.md	115	Fixed Fields	MUST	"<a name=""swaggerProduces""></a>produces | [`string`] | A list of MIME types the APIs can produce. This is global to all APIs but can be overridden on specific API calls. Value MUST be as described under [Mime Types](#mime-types)."
OAS-2.0-0008	2.0	oas/2.0/2.0.md	122	Fixed Fields	MUST	"<a name=""swaggerTags""></a>tags | [[Tag Object](#tag-object)] | A list of tags used by the specification with additional metadata. The order of the tags can be used to reflect on their order by the parsing tools. Not all tags that are used by the [Operation Object](#operation-object) must be declared. The tags that are not declared may be organized randomly or based on the tools' logic. Each tag name in the list MUST be unique."
OAS-2.0-0009	2.0	oas/2.0/2.0.md	129	Patterned Objects	MUST	"<a name=""swaggerExtensions""></a>^x- | Any | Allows extensions to the Swagger Schema. The field name MUST begin with `x-`, for example, `x-internal-id`. The value can be `null`, a primitive, an array or an object. See [Vendor Extensions](#specification-extensions) for further details."
OAS-2.0-0010	2.0	oas/2.0/2.0.md	150	Patterned Objects	MUST	"<a name=""infoExtensions""></a>^x- | Any | Allows extensions to the Swagger Schema. The field name MUST begin with `x-`, for example, `x-internal-id`. The value can be `null`, a primitive, an array or an object. See [Vendor Extensions](#specification-extensions) for further details."
