id	version	source	line	object	variant	name	type	pattern	required	description
OAS-2.0-F0001	2.0	oas/2.0/2.0.md	109	Swagger Object	Fixed Fields	swagger	string	false	true	"**Required.** Specifies the Swagger Specification version being used. It can be used by the Swagger UI and other clients to interpret the API listing. The value MUST be `""2.0""`."
OAS-2.0-F0002	2.0	oas/2.0/2.0.md	110	Swagger Object	Fixed Fields	info	Info Object	false	true	**Required.** Provides metadata about the API. The metadata can be used by the clients if needed.
OAS-2.0-F0003	2.0	oas/2.0/2.0.md	111	Swagger Object	Fixed Fields	host	string	false	false	The host (name or ip) serving the API. This MUST be the host only and does not include the scheme nor sub-paths. It MAY include a port. If the `host` is not included, the host serving the documentation is to be used (including the port). The `host` does not support [path templating](#path-templating).
OAS-2.0-F0004	2.0	oas/2.0/2.0.md	112	Swagger Object	Fixed Fields	basePath	string	false	false	The base path on which the API is served, which is relative to the [`host`](#swaggerHost). If it is not included, the API is served directly under the `host`. The value MUST start with a leading slash (`/`). The `basePath` does not support [path templating](#path-templating).
OAS-2.0-F0005	2.0	oas/2.0/2.0.md	113	Swagger Object	Fixed Fields	schemes	[string]	false	false	"The transfer protocol of the API. Values MUST be from the list: `""http""`, `""https""`, `""ws""`, `""wss""`. If the `schemes` is not included, the default scheme to be used is the one used to access the Swagger definition itself."
OAS-2.0-F0006	2.0	oas/2.0/2.0.md	114	Swagger Object	Fixed Fields	consumes	[string]	false	false	A list of MIME types the APIs can consume. This is global to all APIs but can be overridden on specific API calls. Value MUST be as described under [Mime Types](#mime-types).
OAS-2.0-F0007	2.0	oas/2.0/2.0.md	115	Swagger Object	Fixed Fields	produces	[string]	false	false	A list of MIME types the APIs can produce. This is global to all APIs but can be overridden on specific API calls. Value MUST be as described under [Mime Types](#mime-types).
OAS-2.0-F0008	2.0	oas/2.0/2.0.md	116	Swagger Object	Fixed Fields	paths	Paths Object	false	true	**Required.** The available paths and operations for the API.
OAS-2.0-F0009	2.0	oas/2.0/2.0.md	117	Swagger Object	Fixed Fields	definitions	Definitions Object	false	false	An object to hold data types produced and consumed by operations.
OAS-2.0-F0010	2.0	oas/2.0/2.0.md	118	Swagger Object	Fixed Fields	parameters	Parameters Definitions Object	false	false	An object to hold parameters that can be used across operations. This property *does not* define global parameters for all operations.
OAS-2.0-F0011	2.0	oas/2.0/2.0.md	119	Swagger Object	Fixed Fields	responses	Responses Definitions Object	false	false	An object to hold responses that can be used across operations. This property *does not* define global responses for all operations.
OAS-2.0-F0012	2.0	oas/2.0/2.0.md	120	Swagger Object	Fixed Fields	securityDefinitions	Security Definitions Object	false	false	Security scheme definitions that can be used across the specification.
OAS-2.0-F0013	2.0	oas/2.0/2.0.md	121	Swagger Object	Fixed Fields	security	[Security Requirement Object]	false	false	A declaration of which security schemes are applied for the API as a whole. The list of values describes alternative security schemes that can be used (that is, there is a logical OR between the security requirements). Individual operations can override this definition.
OAS-2.0-F0014	2.0	oas/2.0/2.0.md	122	Swagger Object	Fixed Fields	tags	[Tag Object]	false	false	A list of tags used by the specification with additional metadata. The order of the tags can be used to reflect on their order by the parsing tools. Not all tags that are used by the [Operation Object](#operation-object) must be declared. The tags that are not declared may be organized randomly or based on the tools' logic. Each tag name in the list MUST be unique.
OAS-2.0-F0015	2.0	oas/2.0/2.0.md	123	Swagger Object	Fixed Fields	externalDocs	External Documentation Object	false	false	Additional external documentation.
OAS-2.0-F0016	2.0	oas/2.0/2.0.md	129	Swagger Object	Fixed Fields	^x-	Any	true	false	Allows extensions to the Swagger Schema. The field name MUST begin with `x-`, for example, `x-internal-id`. The value can be `null`, a primitive, an array or an object. See [Vendor Extensions](#specification-extensions) for further details.
OAS-2.0-F0017	2.0	oas/2.0/2.0.md	139	Info Object	Fixed Fields	title	string	false	true	**Required.** The title of the application.
OAS-2.0-F0018	2.0	oas/2.0/2.0.md	140	Info Object	Fixed Fields	description	string	false	false	A short description of the application. [GFM syntax](https://guides.github.com/features/mastering-markdown/#GitHub-flavored-markdown) can be used for rich text representation.
OAS-2.0-F0019	2.0	oas/2.0/2.0.md	141	Info Object	Fixed Fields	termsOfService	string	false	false	The Terms of Service for the API.
OAS-2.0-F0020	2.0	oas/2.0/2.0.md	142	Info Object	Fixed Fields	contact	Contact Object	false	false	The contact information for the exposed API.
OAS-2.0-F0021	2.0	oas/2.0/2.0.md	143	Info Object	Fixed Fields	license	License Object	false	false	The license information for the exposed API.
OAS-2.0-F0022	2.0	oas/2.0/2.0.md	144	Info Object	Fixed Fields	version	string	false	true	**Required** Provides the version of the application API (not to be confused with the specification version).
OAS-2.0-F0023	2.0	oas/2.0/2.0.md	150	Info Object	Fixed Fields	^x-	Any	true	false	Allows extensions to the Swagger Schema. The field name MUST begin with `x-`, for example, `x-internal-id`. The value can be `null`, a primitive, an array or an object. See [Vendor Extensions](#specification-extensions) for further details.
OAS-2.0-F0024	2.0	oas/2.0/2.0.md	194	Contact Object	Fixed Fields	name	string	false	false	The identifying name of the contact person/organization.
OAS-2.0-F0025	2.0	oas/2.0/2.0.md	195	Contact Object	Fixed Fields	url	string	false	false	The URL pointing to the contact information. MUST be in the format of a URL.
OAS-2.0-F0026	2.0	oas/2.0/2.0.md	196	Contact Object	Fixed Fields	email	string	false	false	The email address of the contact person/organization. MUST be in the format of an email address.
OAS-2.0-F0027	2.0	oas/2.0/2.0.md	202	Contact Object	Fixed Fields	^x-	Any	true	false	Allows extensions to the Swagger Schema. The field name MUST begin with `x-`, for example, `x-internal-id`. The value can be `null`, a primitive, an array or an object. See [Vendor Extensions](#specification-extensions) for further details.
OAS-2.0-F0028	2.0	oas/2.0/2.0.md	228	License Object	Fixed Fields	name	string	false	true	**Required.** The license name used for the API.
OAS-2.0-F0029	2.0	oas/2.0/2.0.md	229	License Object	Fixed Fields	url	string	false	false	A URL to the license used for the API. MUST be in the format of a URL.
OAS-2.0-F0030	2.0	oas/2.0/2.0.md	235	License Object	Fixed Fields	^x-	Any	true	false	Allows extensions to the Swagger Schema. The field name MUST begin with `x-`, for example, `x-internal-id`. The value can be `null`, a primitive, an array or an object. See [Vendor Extensions](#specification-extensions) for further details.
OAS-2.0-F0031	2.0	oas/2.0/2.0.md	260	Paths Object	Patterned Fields	/{path}	Path Item Object	true	false	A relative path to an individual endpoint. The field name MUST begin with a slash. The path is appended to the [`basePath`](#swaggerBasePath) in order to construct the full URL. [Path templating](#path-templating) is allowed.
OAS-2.0-F0032	2.0	oas/2.0/2.0.md	261	Paths Object	Patterned Fields	^x-	Any	true	false	Allows extensions to the Swagger Schema. The field name MUST begin with `x-`, for example, `x-internal-id`. The value can be `null`, a primitive, an array or an object. See [Vendor Extensions](#specification-extensions) for further details.
OAS-2.0-F0033	2.0	oas/2.0/2.0.md	313	Path Item Object	Fixed Fields	$ref	string	false	false	Allows for an external definition of this path item. The referenced structure MUST be in the format of a [Path Item Object](#path-item-object). If there are conflicts between the referenced definition and this Path Item's definition, the behavior is *undefined*.
OAS-2.0-F0034	2.0	oas/2.0/2.0.md	314	Path Item Object	Fixed Fields	get	Operation Object	false	false	A definition of a GET operation on this path.
OAS-2.0-F0035	2.0	oas/2.0/2.0.md	315	Path Item Object	Fixed Fields	put	Operation Object	false	false	A definition of a PUT operation on this path.
OAS-2.0-F0036	2.0	oas/2.0/2.0.md	316	Path Item Object	Fixed Fields	post	Operation Object	false	false	A definition of a POST operation on this path.
OAS-2.0-F0037	2.0	oas/2.0/2.0.md	317	Path Item Object	Fixed Fields	delete	Operation Object	false	false	A definition of a DELETE operation on this path.
OAS-2.0-F0038	2.0	oas/2.0/2.0.md	318	Path Item Object	Fixed Fields	options	Operation Object	false	false	A definition of a OPTIONS operation on this path.
OAS-2.0-F0039	2.0	oas/2.0/2.0.md	319	Path Item Object	Fixed Fields	head	Operation Object	false	false	A definition of a HEAD operation on this path.
