object	field	shape	required	nullable	default	extensions	unknownFields	model	validation	evidence	status
#	info	#/definitions/infoObject	true	false		true	reject	document.go:Document	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#	methods	"array"	true	false		true	reject	document.go:Document	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#	openrpc	"string"	true	false		true	reject	document.go:Document	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#	$schema	"string"	false	false	"https://meta.open-rpc.org/"	true	reject	document.go:Document	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#	components	"object"	false	false		true	reject	document.go:Document	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#	externalDocs	#/definitions/externalDocumentationObject	false	false		true	reject	document.go:Document	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#	servers	"array"	false	false		true	reject	document.go:Document	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#/definitions/contactObject	email	"string"	false	false		true	reject	metadata.go:Contact	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#/definitions/contactObject	name	"string"	false	false		true	reject	metadata.go:Contact	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#/definitions/contactObject	url	"string"	false	false		true	reject	metadata.go:Contact	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#/definitions/contentDescriptorObject	name	"string"	true	false		true	reject	method.go:ContentDescriptor	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#/definitions/contentDescriptorObject	schema	#/definitions/JSONSchema	true	false		true	reject	method.go:ContentDescriptor	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#/definitions/contentDescriptorObject	deprecated	"boolean"	false	false	false	true	reject	method.go:ContentDescriptor	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#/definitions/contentDescriptorObject	description	"string"	false	false		true	reject	method.go:ContentDescriptor	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#/definitions/contentDescriptorObject	required	"boolean"	false	false	false	true	reject	method.go:ContentDescriptor	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#/definitions/contentDescriptorObject	summary	"string"	false	false		true	reject	method.go:ContentDescriptor	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#/definitions/errorObject	code	"integer"	true	false		false	reject	method.go:Error	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#/definitions/errorObject	message	"string"	true	false		false	reject	method.go:Error	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#/definitions/errorObject	data	any	false	true		false	reject	method.go:Error	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#/definitions/exampleObject	name	"string"	true	false		true	allow	method.go:Example	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#/definitions/exampleObject	value	any	true	true		true	allow	method.go:Example	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#/definitions/exampleObject	description	"string"	false	false		true	allow	method.go:Example	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#/definitions/exampleObject	summary	"string"	false	false		true	allow	method.go:Example	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
#/definitions/examplePairingObject	name	"string"	true	false		false	allow	method.go:ExamplePairing	validate/metaschema.go:MetaSchema	parse/complete_test.go:TestObjectFieldRequirednessAndNullabilityMatrix	complete
