case	pre_entries	updates	pre_root_commitment_be	post_root_commitment_be
update-present	1000000000000000000000000000000000000000000000000000000000000001:1112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f30	set:1000000000000000000000000000000000000000000000000000000000000001:22232425262728292a2b2c2d2e2f303132333435363738393a3b3c3d3e3f4041	5d070535e11f45cb38756ef4d734e3ed68bc8cac1cf083af8e9ef3d85884fcbd	7111c8b012403ce3e1ccabb0a2dc4835c2d1a659e44f58dc7894140644814dc2
insert-absent-suffix	2000000000000000000000000000000000000000000000000000000000000001:2122232425262728292a2b2c2d2e2f303132333435363738393a3b3c3d3e3f40	set:20000000000000000000000000000000000000000000000000000000000000c8:22232425262728292a2b2c2d2e2f303132333435363738393a3b3c3d3e3f4041	611a9bfb3f28d3005388aa9dedac5c348216b4b8972f38951b9dc6314c90a916	07a51361946d6da465517163698326ee79bcf851923edb84997b070ed4178d2a
insert-missing-root-stem	3000000000000000000000000000000000000000000000000000000000000001:3132333435363738393a3b3c3d3e3f404142434445464748494a4b4c4d4e4f50	set:4000000000000000000000000000000000000000000000000000000000000002:4142434445464748494a4b4c4d4e4f505152535455565758595a5b5c5d5e5f60	38a5a1a2ee9bc24a64babe4a6781f48386eef098cf79ccb58dc5a102303f7ec4	0a92207525a0df6325222f7c8add77c816b91ea08e95f086c207c2c8a83e0d56
insert-different-stem-collision	5010000000000000000000000000000000000000000000000000000000000001:5152535455565758595a5b5c5d5e5f606162636465666768696a6b6c6d6e6f70	set:5020000000000000000000000000000000000000000000000000000000000002:52535455565758595a5b5c5d5e5f606162636465666768696a6b6c6d6e6f7071	028f962b3590c50bc6f24092a9e65481d40c19a4cf9e9e22858b66f79bcb4f89	00154e506526f110ba26a3cf01bcfd75391f559e16a68630a976c9f33e26868c
delete-retained-stem-member	6000000000000000000000000000000000000000000000000000000000000001:6162636465666768696a6b6c6d6e6f707172737475767778797a7b7c7d7e7f80,6000000000000000000000000000000000000000000000000000000000000002:62636465666768696a6b6c6d6e6f707172737475767778797a7b7c7d7e7f8081	delete:6000000000000000000000000000000000000000000000000000000000000001	040fe41615da8c1f33b21c3822ef18da33d53871dcf2c0fea02f554ca78bc939	3525ad196b76296c066fb73cbe12af8678ce67f15ed596e117476137e40d6ea2
delete-last-stem-to-empty	6100000000000000000000000000000000000000000000000000000000000001:636465666768696a6b6c6d6e6f707172737475767778797a7b7c7d7e7f808182	delete:6100000000000000000000000000000000000000000000000000000000000001	10a49aa5a22d80cacfc052f52615331d2ebe802692d2f9dd0bd455e7686f9ca5	0000000000000000000000000000000000000000000000000000000000000000
delete-collision-collapse	7000010000000000000000000000000000000000000000000000000000000001:7172737475767778797a7b7c7d7e7f808182838485868788898a8b8c8d8e8f90,7000020000000000000000000000000000000000000000000000000000000002:72737475767778797a7b7c7d7e7f808182838485868788898a8b8c8d8e8f9091	delete:7000010000000000000000000000000000000000000000000000000000000001	4c041e434cc8a54c4f3c17bdc5412ef203969505157a14a5c5066c727ffbda77	3f16104204f03b5ab1f114df3ad2509f769584f78ebe3256fa7336590cd1feaf
delete-absent-stem-noop	8000000000000000000000000000000000000000000000000000000000000001:8182838485868788898a8b8c8d8e8f909192939495969798999a9b9c9d9e9fa0	delete:9000000000000000000000000000000000000000000000000000000000000002	6c523d3f6e1093fdc5306197ad3370089ce3e0ecbe5c6f80d58cf1e4e13e02fe	6c523d3f6e1093fdc5306197ad3370089ce3e0ecbe5c6f80d58cf1e4e13e02fe
mixed-replace-and-collapse	a010100000000000000000000000000000000000000000000000000000000001:a1a2a3a4a5a6a7a8a9aaabacadaeafb0b1b2b3b4b5b6b7b8b9babbbcbdbebfc0,a040000000000000000000000000000000000000000000000000000000000002:a2a3a4a5a6a7a8a9aaabacadaeafb0b1b2b3b4b5b6b7b8b9babbbcbdbebfc0c1	delete:a040000000000000000000000000000000000000000000000000000000000002,set:a010300000000000000000000000000000000000000000000000000000000003:a3a4a5a6a7a8a9aaabacadaeafb0b1b2b3b4b5b6b7b8b9babbbcbdbebfc0c1c2,delete:a010100000000000000000000000000000000000000000000000000000000001	71913740c12375029bcd4a480b51da94284393db059bf4873438d0b3b2678175	30af182d7983854fa92de8061d45b1737987d709983afc2b2b979308a1b9007c
set-present-zero-and-delete-absent	b000000000000000000000000000000000000000000000000000000000000001:b1b2b3b4b5b6b7b8b9babbbcbdbebfc0c1c2c3c4c5c6c7c8c9cacbcccdcecfd0	delete:b000000000000000000000000000000000000000000000000000000000000002,set:b000000000000000000000000000000000000000000000000000000000000001:0000000000000000000000000000000000000000000000000000000000000000	31430d4412667b7a0f52b68a6cd31a7888cc0c8e15f08d3c29f3d31d474274c7	643110f71d62d926a105583f458da72b1c4111ea9fa0505d340f0f409f01c4a7
