specification	assertion	requirement	source
wsdl-2.0-core	Binding-1044	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Binding-1044
wsdl-2.0-core	Binding-1045	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Binding-1045
wsdl-2.0-core	Binding-1046	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Binding-1046
wsdl-2.0-core	Binding-1047	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Binding-1047
wsdl-2.0-core	Binding-1048	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Binding-1048
wsdl-2.0-core	Binding-1049	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Binding-1049
wsdl-2.0-core	BindingFault-1050	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#BindingFault-1050
wsdl-2.0-core	BindingFaultReference-1055	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#BindingFaultReference-1055
wsdl-2.0-core	BindingFaultReference-1059	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#BindingFaultReference-1059
wsdl-2.0-core	BindingMessageReference-1052	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#BindingMessageReference-1052
wsdl-2.0-core	BindingOperation-1051	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#BindingOperation-1051
wsdl-2.0-core	CanonFragId-1097	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#CanonFragId-1097
wsdl-2.0-core	CanonFragId-1098	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#CanonFragId-1098
wsdl-2.0-core	CanonFragId-1099	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#CanonFragId-1099
wsdl-2.0-core	CanonFragId-1100	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#CanonFragId-1100
wsdl-2.0-core	CanonFragId-1101	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#CanonFragId-1101
wsdl-2.0-core	CanonFragId-1102	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#CanonFragId-1102
wsdl-2.0-core	CanonFragId-1103	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#CanonFragId-1103
wsdl-2.0-core	Description-1001	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Description-1001
wsdl-2.0-core	Description-1002	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Description-1002
wsdl-2.0-core	Description-1003	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Description-1003
wsdl-2.0-core	Description-1004	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Description-1004
wsdl-2.0-core	Description-1005	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Description-1005
wsdl-2.0-core	Description-1068	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Description-1068
wsdl-2.0-core	Description-1071	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Description-1071
wsdl-2.0-core	Description-1072	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Description-1072
wsdl-2.0-core	Endpoint-1061	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Endpoint-1061
wsdl-2.0-core	Endpoint-1062	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Endpoint-1062
wsdl-2.0-core	Equivalence-1063	WSDL20-COMPONENT-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Equivalence-1063
wsdl-2.0-core	Extensibility-1089	WSDL20-EXT-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Extensibility-1089
wsdl-2.0-core	Extensibility-1090	WSDL20-EXT-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Extensibility-1090
wsdl-2.0-core	Extension-1088	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Extension-1088
wsdl-2.0-core	FragId-1095	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#FragId-1095
wsdl-2.0-core	Import-1082	WSDL20-RESOLVE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Import-1082
wsdl-2.0-core	Import-1083	WSDL20-RESOLVE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Import-1083
wsdl-2.0-core	Import-1085	WSDL20-RESOLVE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Import-1085
wsdl-2.0-core	Import-1086	WSDL20-RESOLVE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Import-1086
wsdl-2.0-core	ImportInclude-1087	WSDL20-RESOLVE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#ImportInclude-1087
wsdl-2.0-core	Include-1080	WSDL20-RESOLVE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Include-1080
wsdl-2.0-core	Include-1081	WSDL20-RESOLVE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Include-1081
wsdl-2.0-core	Interface-1009	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Interface-1009
wsdl-2.0-core	Interface-1010	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Interface-1010
wsdl-2.0-core	Interface-1011	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Interface-1011
wsdl-2.0-core	InterfaceFault-1013	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#InterfaceFault-1013
wsdl-2.0-core	InterfaceFault-1015	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#InterfaceFault-1015
wsdl-2.0-core	InterfaceFault-1016	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#InterfaceFault-1016
wsdl-2.0-core	InterfaceFaultReference-1037	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#InterfaceFaultReference-1037
wsdl-2.0-core	InterfaceFaultReference-1039	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#InterfaceFaultReference-1039
wsdl-2.0-core	InterfaceFaultReference-1040	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#InterfaceFaultReference-1040
wsdl-2.0-core	InterfaceMessageReference-1025	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#InterfaceMessageReference-1025
wsdl-2.0-core	InterfaceMessageReference-1026	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#InterfaceMessageReference-1026
wsdl-2.0-core	InterfaceMessageReference-1029	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#InterfaceMessageReference-1029
wsdl-2.0-core	InterfaceOperation-1019	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#InterfaceOperation-1019
wsdl-2.0-core	InterfaceOperation-1020	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#InterfaceOperation-1020
wsdl-2.0-core	InterfaceOperation-1021	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#InterfaceOperation-1021
wsdl-2.0-core	InterfaceOperation-1023	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#InterfaceOperation-1023
wsdl-2.0-core	Location-1092	WSDL20-RESOLVE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Location-1092
wsdl-2.0-core	MEP-1022	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#MEP-1022
wsdl-2.0-core	MessageLabel-1024	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#MessageLabel-1024
wsdl-2.0-core	MessageLabel-1030	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#MessageLabel-1030
wsdl-2.0-core	MessageLabel-1031	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#MessageLabel-1031
wsdl-2.0-core	MessageLabel-1032	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#MessageLabel-1032
wsdl-2.0-core	MessageLabel-1033	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#MessageLabel-1033
wsdl-2.0-core	MessageLabel-1034	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#MessageLabel-1034
wsdl-2.0-core	MessageLabel-1035	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#MessageLabel-1035
wsdl-2.0-core	MessageLabel-1041	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#MessageLabel-1041
wsdl-2.0-core	MessageLabel-1042	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#MessageLabel-1042
wsdl-2.0-core	MessageLabel-1043	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#MessageLabel-1043
wsdl-2.0-core	MessageLabel-1053	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#MessageLabel-1053
wsdl-2.0-core	MessageLabel-1054	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#MessageLabel-1054
wsdl-2.0-core	MessageLabel-1056	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#MessageLabel-1056
wsdl-2.0-core	MessageLabel-1057	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#MessageLabel-1057
wsdl-2.0-core	MessageLabel-1058	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#MessageLabel-1058
wsdl-2.0-core	QName-resolution-1064	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#QName-resolution-1064
